# Generated by M. Cushing, Wed Feb 18 15:58:22 2009
#
# The filter profile are from Tokunaga et al. (2002, PASP, 114, 180)
# and are at 65 K. The atmospheric transmission was computed using
# ATRAN at an airmass of 1, with a precipitable water vapor of 2 mm. 
# The transmission spectrum was smoothed to R=2000 and resampled to 2
# pixels per resolution element.  The filter transmission function was
# then resampled onto this wavelength scale.
#
#====================================
#Wavelength (microns)  Transmission
#====================================
            4.7869337         0.540
            4.7881305         0.503
            4.7893275         0.436
            4.7905248         0.446
            4.7917224         0.479
            4.7929204         0.480
            4.7941186         0.483
            4.7953171         0.496
            4.7965160         0.476
            4.7977151         0.444
            4.7989145         0.445
            4.8001143         0.416
            4.8013143         0.355
            4.8025146         0.352
            4.8037152         0.367
            4.8049162         0.358
            4.8061174         0.358
            4.8073189         0.325
            4.8085208         0.253
            4.8097229         0.170
            4.8109253         0.094
            4.8121280         0.043
            4.8133311         0.069
            4.8145344         0.168
            4.8157380         0.233
            4.8169420         0.239
            4.8181462         0.215
            4.8193508         0.172
            4.8205556         0.157
            4.8217607         0.170
            4.8229662         0.167
            4.8241719         0.151
            4.8253780         0.151
            4.8265843         0.149
            4.8277909         0.130
            4.8289979         0.126
            4.8302051         0.125
            4.8314127         0.108
            4.8326205         0.102
            4.8338287         0.102
            4.8350372         0.089
            4.8362459         0.084
            4.8374550         0.079
            4.8386643         0.054
            4.8398740         0.035
            4.8410840         0.026
            4.8422942         0.026
            4.8435048         0.044
            4.8447157         0.054
            4.8459269         0.048
            4.8471384         0.047
            4.8483501         0.045
            4.8495622         0.035
            4.8507746         0.025
            4.8519873         0.021
            4.8532003         0.023
            4.8544136         0.029
            4.8556272         0.030
            4.8568411         0.024
            4.8580553         0.023
            4.8592698         0.024
            4.8604847         0.022
            4.8616998         0.023
            4.8629152         0.024
            4.8641309         0.021
            4.8653470         0.021
            4.8665633         0.022
            4.8677800         0.019
            4.8689969         0.017
            4.8702141         0.017
            4.8714317         0.015
            4.8726496         0.015
            4.8738677         0.015
            4.8750862         0.013
            4.8763050         0.012
            4.8775240         0.012
            4.8787434         0.011
            4.8799631         0.010
            4.8811831         0.009
            4.8824034         0.008
            4.8836240         0.008
            4.8848449         0.007
            4.8860661         0.007
            4.8872876         0.008
            4.8885094         0.007
            4.8897316         0.006
            4.8909540         0.004
            4.8921767         0.004
            4.8933998         0.005
            4.8946231         0.005
            4.8958468         0.004
            4.8970708         0.002
            4.8982950         0.003
            4.8995196         0.005
            4.9007445         0.005
            4.9019697         0.004
            4.9031952         0.003
            4.9044210         0.003
            4.9056471         0.002
            4.9068735         0.001
            4.9081002         0.001
            4.9093272         0.001
            4.9105545         0.002
            4.9117822         0.003
            4.9130101         0.004
            4.9142384         0.004
            4.9154669         0.003
            4.9166958         0.003
            4.9179250         0.004
            4.9191545         0.005
            4.9203843         0.005
            4.9216143         0.005
            4.9228448         0.005
            4.9240755         0.005
            4.9253065         0.005
            4.9265378         0.003
