age,mass,teff,Lbol,logg,radius,V,R,I,J,H,K,L,M
0.001,0.0800,2869.,-1.373,3.492,0.840,11.29,9.73,7.88,6.11,5.70,5.40,4.90,4.98
0.001,0.0900,2867.,-1.289,3.457,0.927,11.11,9.53,7.67,5.89,5.48,5.18,4.69,4.77
0.001,0.1000,2856.,-1.187,3.394,1.051,10.92,9.31,7.43,5.63,5.22,4.92,4.43,4.51
0.005,0.0005,455.,-6.079,2.794,0.148,29.65,25.39,22.25,19.37,18.91,20.96,15.03,13.92
0.005,0.0010,644.,-5.522,3.141,0.141,27.67,23.18,20.34,16.84,16.57,16.97,13.56,12.85
0.005,0.0020,901.,-4.920,3.425,0.143,26.00,21.48,18.80,14.94,14.66,14.30,12.07,11.83
0.005,0.0030,1098.,-4.552,3.576,0.148,24.45,20.08,17.54,13.89,13.56,13.21,11.21,11.31
0.005,0.0040,1263.,-4.283,3.675,0.152,22.97,18.96,16.61,13.16,12.79,12.46,10.66,10.96
0.005,0.0050,1413.,-4.061,3.745,0.157,21.84,18.13,15.69,12.58,12.17,11.85,10.23,10.67
0.005,0.0060,1543.,-3.886,3.802,0.161,21.06,17.57,15.19,12.11,11.72,11.36,9.92,10.44
0.005,0.0070,1668.,-3.725,3.843,0.166,20.40,17.08,14.85,11.69,11.30,10.90,9.64,10.20
0.005,0.0080,1786.,-3.579,3.874,0.171,19.86,16.61,14.38,11.33,10.95,10.52,9.40,9.97
0.005,0.0090,1885.,-3.460,3.900,0.176,19.43,16.22,13.96,11.04,10.68,10.24,9.22,9.76
0.005,0.0100,1965.,-3.363,3.921,0.181,19.05,15.87,13.61,10.80,10.44,10.00,9.06,9.57
0.005,0.0120,2102.,-3.194,3.948,0.192,18.36,15.28,12.98,10.39,10.03,9.61,8.77,9.21
0.005,0.0150,2264.,-2.981,3.960,0.212,17.38,14.60,12.30,9.92,9.53,9.14,8.39,8.72
0.005,0.0200,2452.,-2.661,3.905,0.261,15.91,13.59,11.34,9.18,8.79,8.42,7.77,8.00
0.005,0.0300,2616.,-2.262,3.795,0.363,14.29,12.34,10.21,8.23,7.85,7.50,6.91,7.07
0.005,0.0400,2754.,-2.068,3.814,0.410,13.26,11.59,9.65,7.82,7.42,7.08,6.54,6.63
0.005,0.0500,2806.,-1.846,3.722,0.510,12.56,10.96,9.07,7.28,6.88,6.55,6.03,6.11
0.005,0.0600,2875.,-1.902,3.899,0.455,12.48,10.96,9.16,7.45,7.03,6.72,6.22,6.30
0.005,0.0700,2916.,-1.829,3.917,0.481,12.19,10.72,8.95,7.28,6.85,6.55,6.07,6.14
0.005,0.0720,2921.,-1.814,3.918,0.488,12.14,10.67,8.91,7.24,6.82,6.51,6.03,6.11
0.005,0.0750,2912.,-1.716,3.832,0.550,11.94,10.46,8.68,6.99,6.57,6.27,5.78,5.86
0.005,0.0800,2946.,-1.760,3.925,0.510,11.95,10.51,8.77,7.11,6.68,6.39,5.92,6.00
0.005,0.0900,2974.,-1.696,3.928,0.540,11.73,10.31,8.59,6.96,6.53,6.24,5.78,5.85
0.005,0.1000,2983.,-1.582,3.865,0.611,11.45,10.03,8.31,6.67,6.24,5.95,5.50,5.58
0.010,0.0005,394.,-6.380,2.847,0.140,30.74,26.62,23.47,20.70,20.16,23.40,15.83,14.61
0.010,0.0010,540.,-5.870,3.184,0.134,28.50,24.15,21.21,18.12,17.79,19.05,14.48,13.50
0.010,0.0020,746.,-5.298,3.474,0.136,26.99,22.47,19.71,16.02,15.79,15.86,13.02,12.47
0.010,0.0030,920.,-4.914,3.631,0.139,25.96,21.46,18.78,14.88,14.65,14.33,12.09,11.84
0.010,0.0040,1064.,-4.645,3.739,0.141,24.93,20.54,17.94,14.12,13.85,13.51,11.46,11.45
0.010,0.0050,1193.,-4.429,3.820,0.144,23.89,19.67,17.18,13.52,13.22,12.92,10.99,11.18
0.010,0.0060,1316.,-4.244,3.883,0.147,22.89,18.90,16.49,13.03,12.68,12.41,10.62,10.95
0.010,0.0070,1426.,-4.091,3.937,0.149,22.08,18.29,15.74,12.64,12.27,11.99,10.33,10.77
0.010,0.0080,1536.,-3.945,3.978,0.152,21.33,17.78,15.37,12.25,11.87,11.56,10.07,10.58
0.010,0.0090,1635.,-3.820,4.013,0.155,20.76,17.38,15.16,11.92,11.54,11.19,9.84,10.40
0.010,0.0100,1731.,-3.704,4.042,0.158,20.29,17.00,14.79,11.63,11.26,10.87,9.65,10.23
0.010,0.0120,1915.,-3.488,4.081,0.165,19.46,16.27,14.01,11.10,10.75,10.33,9.32,9.87
0.010,0.0150,2188.,-3.125,4.046,0.192,17.94,15.02,12.71,10.25,9.87,9.47,8.68,9.07
0.010,0.0200,2442.,-2.709,3.945,0.249,16.07,13.72,11.47,9.30,8.91,8.54,7.88,8.11
0.010,0.0300,2622.,-2.435,3.971,0.296,14.67,12.74,10.63,8.68,8.28,7.93,7.35,7.50
0.010,0.0400,2734.,-2.411,4.145,0.280,14.16,12.46,10.49,8.67,8.25,7.92,7.37,7.50
0.010,0.0500,2821.,-2.233,4.118,0.323,13.43,11.86,10.00,8.26,7.84,7.52,7.00,7.10
0.010,0.0600,2871.,-2.188,4.184,0.328,13.18,11.67,9.85,8.16,7.73,7.43,6.93,7.03
0.010,0.0700,2919.,-2.099,4.189,0.352,12.83,11.37,9.60,7.95,7.52,7.22,6.74,6.83
0.010,0.0720,2927.,-2.083,4.190,0.357,12.77,11.32,9.55,7.91,7.48,7.18,6.70,6.80
0.010,0.0750,2942.,-2.022,4.156,0.379,12.58,11.14,9.40,7.76,7.33,7.04,6.56,6.65
0.010,0.0800,2958.,-2.016,4.188,0.377,12.53,11.10,9.37,7.75,7.32,7.03,6.56,6.65
0.010,0.0900,2993.,-1.943,4.186,0.401,12.26,10.87,9.17,7.58,7.14,6.86,6.41,6.49
0.010,0.1000,3024.,-1.854,4.161,0.435,11.97,10.61,8.94,7.37,6.93,6.65,6.21,6.29
0.050,0.0005,285.,-7.069,2.975,0.120,35.46,31.35,28.21,24.23,23.59,31.08,17.89,16.24
0.050,0.0010,375.,-6.587,3.267,0.122,30.95,26.94,24.01,21.10,20.80,25.14,16.44,15.02
0.050,0.0020,491.,-6.100,3.551,0.124,28.82,24.60,21.73,18.92,18.55,20.70,15.15,13.94
0.050,0.0030,585.,-5.789,3.719,0.125,27.96,23.59,20.74,17.63,17.39,18.67,14.31,13.34
0.050,0.0040,676.,-5.531,3.837,0.126,27.40,22.94,20.12,16.72,16.51,17.21,13.64,12.85
0.050,0.0050,756.,-5.336,3.933,0.126,26.98,22.50,19.69,16.09,15.91,16.20,13.16,12.51
0.050,0.0060,840.,-5.152,4.012,0.126,26.56,22.07,19.30,15.51,15.36,15.34,12.72,12.21
0.050,0.0070,928.,-4.978,4.078,0.127,26.12,21.66,18.93,14.98,14.85,14.64,12.31,11.94
0.050,0.0080,1010.,-4.832,4.136,0.127,25.68,21.28,18.59,14.55,14.41,14.14,11.97,11.74
0.050,0.0090,1085.,-4.706,4.187,0.127,25.24,20.90,18.23,14.19,14.04,13.76,11.69,11.59
0.050,0.0100,1171.,-4.569,4.228,0.127,24.68,20.41,17.79,13.82,13.64,13.38,11.38,11.43
0.050,0.0120,1520.,-4.052,4.243,0.137,21.96,18.24,15.71,12.49,12.17,11.95,10.34,10.81
0.050,0.0150,1903.,-3.568,4.246,0.153,19.72,16.53,14.26,11.29,10.94,10.56,9.50,10.06
0.050,0.0200,1909.,-3.642,4.450,0.139,19.95,16.76,14.47,11.47,11.13,10.79,9.69,10.26
0.050,0.0300,2246.,-3.311,4.578,0.147,18.27,15.43,13.12,10.70,10.33,9.98,9.19,9.63
0.050,0.0400,2480.,-3.080,4.644,0.158,16.88,14.57,12.33,10.21,9.81,9.48,8.82,9.12
0.050,0.0500,2651.,-2.884,4.661,0.173,15.72,13.80,11.70,9.79,9.38,9.06,8.48,8.70
0.050,0.0600,2759.,-2.755,4.680,0.185,15.00,13.29,11.30,9.51,9.09,8.79,8.24,8.42
0.050,0.0700,2837.,-2.647,4.688,0.198,14.46,12.87,10.98,9.27,8.84,8.55,8.04,8.19
0.050,0.0720,2852.,-2.623,4.685,0.202,14.36,12.79,10.91,9.22,8.79,8.50,7.99,8.14
0.050,0.0750,2872.,-2.591,4.683,0.206,14.21,12.67,10.82,9.15,8.71,8.42,7.92,8.07
0.050,0.0800,2901.,-2.551,4.689,0.212,14.02,12.52,10.70,9.06,8.62,8.34,7.85,7.99
0.050,0.0900,2948.,-2.472,4.689,0.225,13.69,12.24,10.48,8.88,8.44,8.16,7.68,7.82
0.050,0.1000,2989.,-2.397,4.683,0.238,13.38,11.98,10.26,8.70,8.26,7.99,7.53,7.65
0.100,0.0005,240.,-7.418,3.020,0.114,41.98,37.51,34.00,28.42,26.59,37.66,19.57,17.64
0.100,0.0010,309.,-6.957,3.300,0.117,32.58,28.68,25.89,22.43,22.38,29.11,17.41,15.69
0.100,0.0020,425.,-6.383,3.580,0.120,29.69,25.62,22.79,20.05,19.76,23.13,15.94,14.55
0.100,0.0030,493.,-6.112,3.746,0.121,28.71,24.48,21.66,18.88,18.57,20.88,15.21,13.93
0.100,0.0040,563.,-5.880,3.869,0.122,28.09,23.77,20.95,17.95,17.71,19.35,14.59,13.50
0.100,0.0050,630.,-5.686,3.965,0.122,27.65,23.25,20.44,17.23,17.02,18.15,14.06,13.14
0.100,0.0060,688.,-5.534,4.048,0.121,27.36,22.92,20.09,16.71,16.51,17.26,13.67,12.83
0.100,0.0070,760.,-5.365,4.117,0.121,27.03,22.55,19.74,16.16,16.01,16.38,13.26,12.55
0.100,0.0080,816.,-5.246,4.180,0.120,26.77,22.28,19.49,15.76,15.65,15.79,12.97,12.35
0.100,0.0090,886.,-5.103,4.232,0.120,26.45,21.96,19.19,15.32,15.23,15.16,12.63,12.13
0.100,0.0100,953.,-4.978,4.279,0.120,26.10,21.66,18.92,14.94,14.86,14.69,12.34,11.96
0.100,0.0120,1335.,-4.332,4.297,0.129,23.53,19.44,16.79,13.20,12.97,12.76,10.90,11.17
0.100,0.0150,1399.,-4.281,4.424,0.124,23.30,19.24,16.46,13.05,12.82,12.65,10.83,11.15
0.100,0.0200,1561.,-4.110,4.569,0.122,22.30,18.55,16.08,12.60,12.34,12.17,10.53,10.99
0.100,0.0300,1979.,-3.668,4.715,0.126,19.96,16.80,14.48,11.52,11.20,10.90,9.82,10.38
0.100,0.0400,2270.,-3.386,4.797,0.132,18.46,15.63,13.31,10.89,10.52,10.19,9.39,9.84
0.100,0.0500,2493.,-3.167,4.837,0.141,17.09,14.77,12.53,10.43,10.02,9.71,9.04,9.37
0.100,0.0600,2648.,-3.008,4.863,0.150,16.08,14.12,12.01,10.10,9.68,9.37,8.78,9.03
0.100,0.0700,2762.,-2.879,4.874,0.160,15.33,13.59,11.60,9.82,9.39,9.10,8.55,8.75
0.100,0.0720,2782.,-2.856,4.875,0.162,15.20,13.50,11.53,9.77,9.34,9.05,8.51,8.70
0.100,0.0750,2809.,-2.821,4.875,0.166,15.01,13.36,11.42,9.69,9.26,8.97,8.44,8.63
0.100,0.0800,2846.,-2.776,4.880,0.170,14.77,13.18,11.29,9.60,9.16,8.87,8.36,8.53
0.100,0.0900,2910.,-2.689,4.884,0.180,14.34,12.85,11.03,9.40,8.96,8.68,8.19,8.35
0.100,0.1000,2960.,-2.617,4.887,0.189,14.02,12.58,10.82,9.24,8.80,8.52,8.05,8.19
0.120,0.0005,227.,-7.526,3.032,0.113,43.82,39.25,35.63,29.59,27.43,39.50,20.03,18.03
0.120,0.0010,295.,-7.043,3.307,0.116,33.54,29.61,26.78,23.06,22.92,30.33,17.71,15.92
0.120,0.0020,403.,-6.481,3.588,0.119,29.96,25.94,23.13,20.41,20.14,23.91,16.18,14.75
0.120,0.0030,475.,-6.183,3.753,0.120,28.93,24.74,21.93,19.17,18.88,21.55,15.42,14.09
0.120,0.0040,537.,-5.970,3.876,0.121,28.29,24.00,21.19,18.29,18.03,19.95,14.84,13.66
0.120,0.0050,599.,-5.781,3.974,0.121,27.81,23.44,20.64,17.53,17.32,18.69,14.30,13.31
0.120,0.0060,665.,-5.602,4.055,0.120,27.48,23.06,20.24,16.94,16.75,17.67,13.85,12.97
0.120,0.0070,716.,-5.477,4.127,0.120,27.25,22.79,19.97,16.51,16.35,16.95,13.53,12.73
0.120,0.0080,783.,-5.326,4.188,0.119,26.95,22.46,19.65,16.02,15.90,16.18,13.17,12.48
0.120,0.0090,835.,-5.219,4.243,0.119,26.71,22.22,19.43,15.67,15.58,15.68,12.92,12.31
0.120,0.0100,900.,-5.088,4.290,0.119,26.41,21.93,19.16,15.26,15.18,15.09,12.60,12.11
0.120,0.0120,1273.,-4.432,4.314,0.126,24.05,19.88,17.26,13.45,13.25,13.03,11.11,11.29
0.120,0.0150,1298.,-4.436,4.450,0.121,24.12,19.95,17.25,13.43,13.27,13.07,11.15,11.34
0.120,0.0200,1484.,-4.218,4.590,0.119,22.95,19.01,16.31,12.87,12.65,12.51,10.75,11.13
0.120,0.0300,1905.,-3.764,4.745,0.122,20.43,17.19,14.87,11.75,11.44,11.17,9.98,10.56
0.120,0.0400,2204.,-3.472,4.831,0.127,18.90,15.94,13.60,11.08,10.72,10.40,9.54,10.03
0.120,0.0500,2441.,-3.244,4.878,0.135,17.51,15.05,12.78,10.60,10.20,9.89,9.19,9.55
0.120,0.0600,2606.,-3.083,4.909,0.142,16.44,14.38,12.22,10.26,9.84,9.54,8.93,9.20
0.120,0.0700,2733.,-2.944,4.921,0.152,15.60,13.81,11.78,9.97,9.54,9.25,8.69,8.91
0.120,0.0720,2753.,-2.922,4.923,0.153,15.47,13.72,11.71,9.92,9.49,9.20,8.65,8.86
0.120,0.0750,2783.,-2.886,4.923,0.157,15.27,13.57,11.60,9.84,9.41,9.12,8.58,8.78
0.120,0.0800,2824.,-2.838,4.929,0.161,15.01,13.38,11.45,9.74,9.30,9.02,8.50,8.68
0.120,0.0900,2894.,-2.753,4.937,0.169,14.56,13.03,11.20,9.56,9.11,8.83,8.34,8.50
0.120,0.1000,2949.,-2.673,4.936,0.178,14.19,12.73,10.97,9.38,8.93,8.66,8.18,8.33
0.500,0.0005,141.,-8.415,3.097,0.105,56.30,51.03,46.60,37.42,33.07,51.62,23.09,20.59
0.500,0.0010,203.,-7.753,3.365,0.109,47.57,42.88,38.99,31.61,29.15,43.23,20.93,18.68
0.500,0.0020,272.,-7.218,3.639,0.112,37.05,33.00,30.06,25.07,24.62,34.02,18.66,16.58
0.500,0.0030,322.,-6.913,3.805,0.113,32.02,28.23,25.75,22.05,22.27,29.03,17.52,15.53
0.500,0.0040,370.,-6.670,3.928,0.114,30.65,26.73,24.16,21.01,21.06,26.45,16.85,15.05
0.500,0.0050,409.,-6.496,4.027,0.113,29.60,25.57,22.94,20.20,20.11,24.54,16.32,14.67
0.500,0.0060,449.,-6.340,4.112,0.113,29.16,25.05,22.39,19.64,19.51,23.10,15.92,14.36
0.500,0.0070,488.,-6.200,4.185,0.112,28.71,24.51,21.80,19.10,18.91,21.68,15.52,14.06
0.500,0.0080,525.,-6.080,4.249,0.111,28.40,24.14,21.41,18.65,18.46,20.74,15.19,13.83
0.500,0.0090,564.,-5.963,4.307,0.110,28.14,23.82,21.07,18.21,18.04,19.95,14.88,13.63
0.500,0.0100,599.,-5.864,4.358,0.110,27.91,23.53,20.77,17.80,17.66,19.22,14.59,13.43
0.500,0.0120,759.,-5.447,4.432,0.110,27.20,22.73,19.91,16.38,16.29,16.82,13.51,12.68
0.500,0.0150,791.,-5.404,4.557,0.107,27.11,22.63,19.81,16.20,16.16,16.58,13.41,12.60
0.500,0.0200,936.,-5.133,4.704,0.104,26.53,22.07,19.27,15.33,15.34,15.37,12.78,12.21
0.500,0.0300,1264.,-4.636,4.905,0.101,24.97,20.77,17.95,13.90,13.87,13.69,11.70,11.68
0.500,0.0400,1583.,-4.255,5.040,0.100,23.11,19.28,16.74,12.92,12.76,12.68,10.95,11.33
0.500,0.0500,1875.,-3.955,5.131,0.101,21.31,17.94,15.53,12.21,11.95,11.79,10.44,10.99
0.500,0.0600,2116.,-3.729,5.194,0.102,19.99,16.91,14.50,11.69,11.36,11.13,10.10,10.63
0.500,0.0700,2329.,-3.534,5.233,0.106,18.84,16.04,13.68,11.27,10.90,10.63,9.81,10.26
0.500,0.0720,2369.,-3.498,5.238,0.107,18.60,15.89,13.54,11.19,10.81,10.54,9.75,10.19
0.500,0.0750,2426.,-3.445,5.244,0.108,18.25,15.66,13.33,11.08,10.69,10.42,9.67,10.08
0.500,0.0800,2518.,-3.356,5.248,0.111,17.65,15.27,13.00,10.89,10.49,10.22,9.53,9.89
0.500,0.0900,2680.,-3.189,5.241,0.119,16.54,14.56,12.43,10.55,10.12,9.85,9.25,9.53
0.500,0.1000,2804.,-3.047,5.223,0.128,15.68,13.96,11.98,10.25,9.80,9.54,9.00,9.22
1.000,0.0005,111.,-8.851,3.115,0.102,60.75,55.23,50.50,40.19,35.07,55.87,24.15,21.49
1.000,0.0010,160.,-8.185,3.386,0.106,54.15,49.10,44.69,35.58,32.06,49.17,22.40,19.95
1.000,0.0020,226.,-7.560,3.662,0.109,44.39,39.91,36.34,29.28,27.80,40.31,20.18,17.94
1.000,0.0030,270.,-7.244,3.827,0.111,37.64,33.60,30.73,25.29,24.99,34.51,18.84,16.66
1.000,0.0040,304.,-7.031,3.950,0.111,32.62,28.93,26.60,22.49,22.91,30.25,17.91,15.73
1.000,0.0050,342.,-6.831,4.051,0.110,31.58,27.79,25.36,21.71,21.98,28.28,17.38,15.36
1.000,0.0060,377.,-6.664,4.134,0.110,30.53,26.63,24.12,20.96,21.07,26.39,16.87,15.01
1.000,0.0070,403.,-6.556,4.208,0.109,29.77,25.79,23.26,20.41,20.43,25.04,16.54,14.76
1.000,0.0080,438.,-6.417,4.272,0.108,29.37,25.31,22.73,19.93,19.89,23.77,16.18,14.50
1.000,0.0090,464.,-6.325,4.331,0.107,29.06,24.94,22.33,19.59,19.49,22.85,15.93,14.31
1.000,0.0100,491.,-6.235,4.383,0.107,28.74,24.55,21.89,19.23,19.07,21.90,15.65,14.11
1.000,0.0120,578.,-5.955,4.467,0.106,28.09,23.75,21.01,18.15,18.03,19.86,14.88,13.60
1.000,0.0150,628.,-5.835,4.587,0.103,27.86,23.47,20.72,17.70,17.62,19.05,14.56,13.38
1.000,0.0200,766.,-5.514,4.736,0.100,27.31,22.85,20.05,16.56,16.55,17.19,13.72,12.80
1.000,0.0300,1009.,-5.071,4.948,0.096,26.40,21.96,19.15,15.10,15.16,15.14,12.67,12.15
1.000,0.0400,1271.,-4.696,5.099,0.093,25.19,20.99,18.13,14.04,14.04,13.90,11.88,11.80
1.000,0.0500,1543.,-4.374,5.211,0.092,23.73,19.81,17.15,13.21,13.12,13.04,11.25,11.53
1.000,0.0600,1801.,-4.106,5.291,0.092,22.13,18.59,16.10,12.56,12.36,12.27,10.77,11.26
1.000,0.0700,2082.,-3.829,5.333,0.094,20.44,17.31,14.87,11.93,11.62,11.43,10.32,10.85
1.000,0.0720,2140.,-3.772,5.336,0.095,20.12,17.05,14.61,11.80,11.48,11.27,10.23,10.75
1.000,0.0750,2234.,-3.679,5.334,0.098,19.59,16.63,14.21,11.60,11.25,11.02,10.08,10.58
1.000,0.0800,2383.,-3.527,5.323,0.102,18.67,15.96,13.61,11.26,10.89,10.63,9.84,10.27
1.000,0.0900,2627.,-3.268,5.285,0.113,16.98,14.86,12.67,10.72,10.30,10.03,9.40,9.72
1.000,0.1000,2784.,-3.083,5.246,0.125,15.86,14.09,12.09,10.33,9.89,9.62,9.07,9.31
5.000,0.0020,129.,-8.570,3.698,0.105,60.05,54.63,49.68,38.16,34.52,53.62,23.33,20.80
5.000,0.0030,162.,-8.166,3.868,0.105,55.32,50.15,45.63,34.96,32.46,49.21,22.22,19.81
5.000,0.0040,193.,-7.867,3.994,0.105,50.68,45.80,41.76,32.14,30.52,45.15,21.28,18.92
5.000,0.0050,220.,-7.644,4.095,0.105,46.50,41.92,38.30,29.83,28.84,41.71,20.48,18.16
5.000,0.0060,244.,-7.469,4.180,0.104,42.71,38.43,35.18,27.80,27.34,38.67,19.78,17.49
5.000,0.0070,265.,-7.328,4.254,0.103,39.29,35.29,32.37,26.02,26.00,35.96,19.16,16.88
5.000,0.0080,284.,-7.217,4.318,0.103,36.31,32.57,29.93,24.50,24.85,33.65,18.64,16.36
5.000,0.0090,301.,-7.124,4.376,0.102,33.73,30.22,27.82,23.21,23.85,31.64,18.18,15.91
5.000,0.0100,322.,-7.015,4.429,0.101,33.05,29.47,27.06,22.74,23.30,30.49,17.91,15.71
5.000,0.0120,361.,-6.823,4.519,0.100,31.58,27.86,25.46,21.77,22.17,28.16,17.41,15.32
5.000,0.0150,399.,-6.671,4.634,0.098,30.20,26.35,24.00,20.85,21.14,26.01,16.96,14.97
5.000,0.0200,473.,-6.401,4.786,0.095,29.24,25.17,22.66,19.89,19.92,23.31,16.18,14.45
5.000,0.0300,610.,-6.008,5.011,0.090,28.17,23.83,21.17,18.34,18.31,20.04,15.04,13.71
5.000,0.0400,760.,-5.670,5.179,0.085,27.58,23.15,20.40,17.04,17.11,17.99,14.17,13.13
5.000,0.0500,931.,-5.353,5.313,0.082,27.09,22.63,19.82,15.94,16.05,16.38,13.38,12.63
5.000,0.0600,1120.,-5.058,5.418,0.079,26.44,22.03,19.20,15.01,15.13,15.15,12.73,12.27
5.000,0.0700,1524.,-4.504,5.466,0.081,24.33,20.36,17.60,13.52,13.50,13.44,11.60,11.77
5.000,0.0720,1712.,-4.278,5.453,0.083,23.11,19.36,16.75,12.97,12.85,12.80,11.16,11.54
5.000,0.0750,2006.,-3.942,5.411,0.089,21.03,17.80,15.34,12.20,11.92,11.78,10.54,11.06
5.000,0.0800,2320.,-3.603,5.353,0.099,19.11,16.28,13.89,11.44,11.07,10.82,9.97,10.43
5.000,0.0900,2622.,-3.275,5.289,0.113,17.02,14.88,12.70,10.73,10.31,10.04,9.42,9.73
5.000,0.1000,2785.,-3.083,5.247,0.125,15.85,14.09,12.09,10.33,9.89,9.62,9.07,9.31
10.000,0.0030,125.,-8.629,3.879,0.104,61.46,55.89,50.79,38.29,35.04,54.28,23.36,20.89
10.000,0.0040,149.,-8.325,4.006,0.104,58.00,52.62,47.86,36.01,33.56,51.11,22.59,20.19
10.000,0.0050,172.,-8.087,4.109,0.103,54.62,49.46,45.05,34.06,32.18,48.26,21.92,19.57
10.000,0.0060,193.,-7.888,4.195,0.102,51.29,46.38,42.30,32.23,30.85,45.53,21.29,18.97
10.000,0.0070,213.,-7.724,4.270,0.102,48.17,43.50,39.72,30.55,29.62,43.01,20.71,18.41
10.000,0.0080,232.,-7.584,4.335,0.101,45.19,40.77,37.28,29.00,28.46,40.66,20.18,17.89
10.000,0.0090,249.,-7.469,4.393,0.100,42.49,38.30,35.07,27.62,27.41,38.55,19.70,17.42
10.000,0.0100,265.,-7.368,4.445,0.099,39.95,35.99,33.00,26.34,26.44,36.59,19.26,16.98
10.000,0.0120,293.,-7.204,4.536,0.098,35.23,31.68,29.12,24.04,24.64,33.06,18.48,16.20
10.000,0.0150,330.,-7.016,4.650,0.096,32.81,29.25,26.80,22.70,23.33,30.46,17.93,15.76
10.000,0.0200,389.,-6.759,4.802,0.093,30.75,26.99,24.64,21.28,21.73,27.02,17.21,15.19
10.000,0.0300,504.,-6.358,5.029,0.088,28.98,24.87,22.35,19.72,19.68,22.59,16.04,14.37
10.000,0.0400,634.,-6.004,5.200,0.083,28.18,23.85,21.19,18.33,18.33,19.99,15.03,13.75
10.000,0.0500,776.,-5.695,5.338,0.079,27.64,23.21,20.47,17.10,17.18,18.07,14.23,13.21
10.000,0.0600,941.,-5.393,5.450,0.076,27.20,22.74,19.93,16.04,16.18,16.55,13.50,12.73
10.000,0.0700,1289.,-4.832,5.503,0.078,25.69,21.45,18.60,14.37,14.43,14.36,12.27,12.08
10.000,0.0720,1556.,-4.472,5.481,0.081,24.17,20.22,17.48,13.44,13.41,13.36,11.55,11.75
10.000,0.0750,1997.,-3.954,5.415,0.089,21.10,17.85,15.39,12.23,11.95,11.81,10.56,11.08
10.000,0.0800,2322.,-3.602,5.353,0.099,19.10,16.27,13.89,11.43,11.06,10.82,9.97,10.43
10.000,0.0900,2624.,-3.274,5.289,0.113,17.01,14.88,12.69,10.73,10.31,10.04,9.41,9.73
10.000,0.1000,2786.,-3.082,5.246,0.125,15.85,14.09,12.08,10.32,9.88,9.62,9.07,9.30
