#  Mix-Len	    Y 		 Z 		 [Fe/H]  [a/Fe]
#   1.884    0.2755  1.8757e-02   0.00    0.00
# 
#  Age =    180.00 Myr, No. Masses =   31
# 
#       N 			 Mass 		   log(g) 		 log(Teff) 		log(L/Lo) 		log(R/Ro)
    1.00000000     0.12000000     5.05239222     3.48296709    -2.64999385    -0.76767495
    2.00000000     0.13000000     5.04924270     3.48875255    -2.58903403    -0.74876252
    3.00000000     0.14000000     5.04534783     3.49381482    -2.53261236    -0.73067701
    4.00000000     0.15000000     5.04087253     3.49824512    -2.48031417    -0.71339089
    5.00000000     0.16000000     5.03595058     3.50212702    -2.43173876    -0.69686982
    6.00000000     0.17000000     5.03070804     3.50554219    -2.38648891    -0.68107775
    7.00000000     0.18000000     5.02527093     3.50857233    -2.34416741    -0.66597863
    8.00000000     0.19000000     5.01976529     3.51129908    -2.30437703    -0.65153641
    9.00000000     0.20000000     5.01431714     3.51380414    -2.26672057    -0.63771504
   10.00000000     0.21000000     5.00901467     3.51615524    -2.23084487    -0.62447367
   11.00000000     0.22000000     5.00379459     3.51836431    -2.19657303    -0.61175230
   12.00000000     0.23000000     4.99859174     3.52043334    -2.16378528    -0.59949825
   13.00000000     0.24000000     4.99348472     3.52238012    -2.13241410    -0.58770742
   14.00000000     0.25000000     4.98855788     3.52422466    -2.10238634    -0.57637780
   15.00000000     0.26000000     4.98377483     3.52598000    -2.07355385    -0.56546741
   16.00000000     0.27000000     4.97909095     3.52765514    -2.04578137    -0.55493342
   17.00000000     0.28000000     4.97454960     3.52925000    -2.01905996    -0.54476962
   18.00000000     0.29000000     4.97019772     3.53077228    -1.99336035    -0.53497248
   19.00000000     0.30000000     4.96600876     3.53227000    -1.96844540    -0.52551270
   20.00000000     0.31000000     4.96187369     3.53379294    -1.94398760    -0.51632217
   21.00000000     0.32000000     4.95742712     3.53535764    -1.91950577    -0.50720356
   22.00000000     0.33000000     4.95233955     3.53697083    -1.89459597    -0.49797755
   23.00000000     0.34000000     4.94668128     3.53863332    -1.86931690    -0.48866619
   24.00000000     0.35000000     4.94060067     3.54034545    -1.84380935    -0.47933155
   25.00000000     0.36000000     4.93415863     3.54211168    -1.81807965    -0.46999431
   26.00000000     0.37000000     4.92738097     3.54393762    -1.79209417    -0.46065804
   27.00000000     0.38000000     4.92024084     3.54582921    -1.76579401    -0.45129907
   28.00000000     0.39000000     4.91271376     3.54779106    -1.73913281    -0.44189532
   29.00000000     0.40000000     4.90483767     3.54982201    -1.71213964    -0.43245824
   30.00000000     0.41000000     4.89665944     3.55191833    -1.68485905    -0.42300473
   31.00000000     0.42000000     4.88819924     3.55407181    -1.65732200    -0.41354007
   32.00000000     0.43000000     4.87948022     3.55627345    -1.62956912    -0.40407113
   33.00000000     0.44000000     4.87056418     3.55851568    -1.60169349    -0.39462260
