#  Mix-Len	    Y 		 Z 		 [Fe/H]  [a/Fe]
#   1.884    0.2755  1.8757e-02   0.00    0.00
# 
#  Age =   5000.00 Myr, No. Masses =   31
# 
#       N 			 Mass 		   log(g) 		 log(Teff) 		log(L/Lo) 		log(R/Ro)
    1.00000000     0.12000000     5.18741948     3.47579000    -2.81373371    -0.83518474
    2.00000000     0.13000000     5.16509387     3.48390832    -2.72427179    -0.80668751
    3.00000000     0.14000000     5.14526000     3.49068333    -2.64506000    -0.78063333
    4.00000000     0.15000000     5.12757116     3.49631956    -2.57472173    -0.75674028
    5.00000000     0.16000000     5.11171022     3.50099791    -2.51201733    -0.73474909
    6.00000000     0.17000000     5.09736746     3.50489338    -2.45574140    -0.71440612
    7.00000000     0.18000000     5.08423315     3.50818100    -2.40468852    -0.69545778
    8.00000000     0.19000000     5.07199758     3.51103576    -2.35765328    -0.67765045
    9.00000000     0.20000000     5.06035100     3.51363268    -2.31343028    -0.66073050
   10.00000000     0.21000000     5.04904317     3.51610811    -2.27105328    -0.64448777
   11.00000000     0.22000000     5.03806166     3.51844377    -2.23051279    -0.62888583
   12.00000000     0.23000000     5.02743835     3.52059997    -2.19194964    -0.61391954
   13.00000000     0.24000000     5.01714452     3.52260586    -2.15514935    -0.59953519
   14.00000000     0.25000000     5.00714141     3.52450073    -2.11984350    -0.58567212
   15.00000000     0.26000000     4.99741073     3.52629550    -2.08590320    -0.57229036
   16.00000000     0.27000000     4.98796581     3.52799601    -2.05325930    -0.55936994
   17.00000000     0.28000000     4.97892619     3.52961606    -2.02194195    -0.54695006
   18.00000000     0.29000000     4.97032417     3.53116949    -1.99189603    -0.53502795
   19.00000000     0.30000000     4.96173720     3.53266225    -1.96262597    -0.52337360
   20.00000000     0.31000000     4.95306035     3.53410012    -1.93395585    -0.51191643
   21.00000000     0.32000000     4.94591402     3.53549626    -1.90742897    -0.50145075
   22.00000000     0.33000000     4.94107296     3.53685328    -1.88379030    -0.49234917
   23.00000000     0.34000000     4.93420394     3.53812429    -1.85887249    -0.48243268
   24.00000000     0.35000000     4.92183034     3.53929862    -1.82921855    -0.46995126
   25.00000000     0.36000000     4.90900973     3.54056000    -1.79912548    -0.45742249
   26.00000000     0.37000000     4.90097934     3.54207411    -1.77314362    -0.44745479
   27.00000000     0.38000000     4.89516063     3.54374000    -1.74908265    -0.43875233
   28.00000000     0.39000000     4.88799503     3.54542673    -1.72389288    -0.42952947
   29.00000000     0.40000000     4.87981938     3.54715000    -1.69782768    -0.41994554
   30.00000000     0.41000000     4.87166496     3.54895148    -1.67173313    -0.41050710
   31.00000000     0.42000000     4.86344543     3.55083000    -1.64552329    -0.40116468
   32.00000000     0.43000000     4.85487528     3.55277563    -1.61894868    -0.39177018
   33.00000000     0.44000000     4.84599022     3.55478615    -1.59203793    -0.38233704
   34.00000000     0.45000000     4.83688947     3.55686261    -1.56486934    -0.37290990
   35.00000000     0.46000000     4.82760520     3.55901158    -1.53744204    -0.36349681
   36.00000000     0.47000000     4.81815826     3.56124172    -1.50973647    -0.35410098
   37.00000000     0.48000000     4.80859131     3.56356462    -1.48173744    -0.34474296
   38.00000000     0.49000000     4.79895398     3.56599308    -1.45343237    -0.33544717
   39.00000000     0.50000000     4.78930220     3.56854191    -1.42481456    -0.32623610
   40.00000000     0.51000000     4.77968865     3.57122331    -1.39588341    -0.31713007
   41.00000000     0.52000000     4.77014672     3.57403716    -1.36665665    -0.30814265
   42.00000000     0.53000000     4.76071687     3.57698697    -1.33714654    -0.29929143
   43.00000000     0.54000000     4.75148706     3.58010306    -1.30732484    -0.29061679
   44.00000000     0.55000000     4.74252915     3.58340720    -1.27718250    -0.28215137
   45.00000000     0.56000000     4.73380301     3.58686007    -1.24682761    -0.27387402
   46.00000000     0.57000000     4.72525171     3.59041533    -1.21637654    -0.26575512
   47.00000000     0.58000000     4.71686289     3.59405951    -1.18586167    -0.25778486
   48.00000000     0.59000000     4.70866717     3.59780050    -1.15527538    -0.24997497
   49.00000000     0.60000000     4.70082239     3.60169849    -1.12453412    -0.24240335
   50.00000000     0.61000000     4.69346013     3.60580093    -1.09357981    -0.23513470
   51.00000000     0.62000000     4.68647961     3.61005185    -1.06253219    -0.22811480
   52.00000000     0.63000000     4.67974853     3.61438316    -1.03152736    -0.22127383
   53.00000000     0.64000000     4.67324090     3.61878150    -1.00058896    -0.21459842
   54.00000000     0.65000000     4.66694839     3.62324206    -0.96972337    -0.20808448
   55.00000000     0.66000000     4.66082711     3.62773925    -0.93898029    -0.20170846
   56.00000000     0.67000000     4.65486442     3.63226103    -0.90838945    -0.19546217
   57.00000000     0.68000000     4.64920835     3.63687024    -0.87785741    -0.18941828
   58.00000000     0.69000000     4.64398360     3.64162080    -0.84730136    -0.18363770
   59.00000000     0.70000000     4.63906096     3.64645614    -0.81680440    -0.17805349
   60.00000000     0.71000000     4.63426621     3.65130174    -0.78647431    -0.17257623
   61.00000000     0.72000000     4.62949893     3.65612167    -0.75635190    -0.16715440
   62.00000000     0.73000000     4.62468849     3.66089420    -0.72645479    -0.16175171
   63.00000000     0.74000000     4.61980953     3.66561567    -0.69677504    -0.15635477
   64.00000000     0.75000000     4.61484890     3.67028652    -0.66730001    -0.15095631
   65.00000000     0.76000000     4.60979705     3.67490534    -0.63802387    -0.14555081
   66.00000000     0.77000000     4.60464532     3.67947030    -0.60894254    -0.14013315
   67.00000000     0.78000000     4.59938506     3.68397958    -0.58005190    -0.13469822
   68.00000000     0.79000000     4.59400762     3.68843134    -0.55134785    -0.12924090
   69.00000000     0.80000000     4.58850434     3.69282374    -0.52282629    -0.12375610
   70.00000000     0.81000000     4.58286657     3.69715495    -0.49448311    -0.11823868
   71.00000000     0.82000000     4.57708566     3.70142314    -0.46631420    -0.11268355
   72.00000000     0.83000000     4.57115295     3.70562647    -0.43831547    -0.10708558
   73.00000000     0.84000000     4.56505979     3.70976311    -0.41048281    -0.10143968
   74.00000000     0.85000000     4.55879752     3.71383123    -0.38281212    -0.09574072
   75.00000000     0.86000000     4.55235750     3.71782898    -0.35529929    -0.08998359
   76.00000000     0.87000000     4.54573107     3.72175455    -0.32794021    -0.08416318
   77.00000000     0.88000000     4.53890957     3.72560609    -0.30073078    -0.07827439
   78.00000000     0.89000000     4.53188436     3.72938176    -0.27366691    -0.07231209
