#  Mix-Len	    Y 		 Z 		 [Fe/H]  [a/Fe]
#   1.884    0.2755  1.8757e-02   0.00    0.00
# 
#  Age =     10.00 Myr, No. Masses =   31
# 
#       N 			 Mass 		   log(g) 		 log(Teff) 		log(L/Lo) 		log(R/Ro)
    1.00000000     0.12000000     4.20594666     3.49311109    -1.76296229    -0.34444972
    2.00000000     0.13000000     4.20650201     3.49626045    -1.71624934    -0.32739397
    3.00000000     0.14000000     4.20638088     3.49919199    -1.67212290    -0.31119544
    4.00000000     0.15000000     4.20616011     3.50193218    -1.63083933    -0.29603465
    5.00000000     0.16000000     4.20602273     3.50450238    -1.59229596    -0.28190299
    6.00000000     0.17000000     4.20605329     3.50692269    -1.55630038    -0.26874457
    7.00000000     0.18000000     4.20633634     3.50921321    -1.52266017    -0.25650351
    8.00000000     0.19000000     4.20695643     3.51139404    -1.49118291    -0.24512390
    9.00000000     0.20000000     4.20799812     3.51348528    -1.46167620    -0.23454985
   10.00000000     0.21000000     4.20927280     3.51550144    -1.43372248    -0.22460204
   11.00000000     0.22000000     4.20949921     3.51743466    -1.40600369    -0.21460749
   12.00000000     0.23000000     4.20780721     3.51927859    -1.37762560    -0.20410761
   13.00000000     0.24000000     4.20606392     3.52105532    -1.35028997    -0.19399513
   14.00000000     0.25000000     4.20614096     3.52278937    -1.32569326    -0.18516514
   15.00000000     0.26000000     4.20719077     3.52448648    -1.30291484    -0.17717083
   16.00000000     0.27000000     4.20801268     3.52614809    -1.28070336    -0.16939117
   17.00000000     0.28000000     4.20871269     3.52777716    -1.25910166    -0.16185015
   18.00000000     0.29000000     4.20963099     3.52937841    -1.23838166    -0.15468977
   19.00000000     0.30000000     4.21073773     3.53096186    -1.21843749    -0.14787886
   20.00000000     0.31000000     4.21193675     3.53253591    -1.19910593    -0.14135602
   21.00000000     0.32000000     4.21323666     3.53409695    -1.18037190    -0.13511180
   22.00000000     0.33000000     4.21466141     3.53564044    -1.16224411    -0.12914401
