# logAge Mass logTe Mbol logg C/O
3.7117817740 40.0000000000 4.2113400000 -8.6664500000 2.4568399913 0.0000000000
3.7134221049 39.9999515683 4.2126387960 -8.6717028094 2.4599335258 0.0000000000
3.7150685028 39.9998952351 4.2139523946 -8.6769200506 2.4631004119 0.0000000000
3.7167167702 39.9998354028 4.2152693624 -8.6821281249 2.4662844039 0.0000000000
3.7183671830 39.9997813000 4.2165917862 -8.6873236138 2.4694953161 0.0000000000
3.7200193234 39.9997307651 4.2179258409 -8.6924973073 2.4727615088 0.0000000000
3.7216710753 39.9996718717 4.2192669864 -8.6976597475 2.4760604751 0.0000000000
3.7233277481 39.9996141488 4.2206117638 -8.7028065107 2.4793802531 0.0000000000
3.7249849304 39.9995477735 4.2219727377 -8.7079248462 2.4827760936 0.0000000000
3.7266457980 39.9994859775 4.2233425151 -8.7130214032 2.4862159096 0.0000000000
3.7283093990 39.9994241573 4.2247165765 -8.7181051319 2.4896779926 0.0000000000
3.7299722311 39.9993575171 4.2261008407 -8.7231727396 2.4931872827 0.0000000000
3.7316389604 39.9992988784 4.2274951784 -8.7282156534 2.4967468314 0.0000000000
3.7333135190 39.9992310974 4.2288959911 -8.7332303455 2.5003434694 0.0000000000
3.7349886963 39.9991626597 4.2303127936 -8.7382155206 2.5040158660 0.0000000000
3.7366678288 39.9990943963 4.2317438769 -8.7431667918 2.5077589497 0.0000000000
3.7383533095 39.9990266082 4.2331870544 -8.7480825675 2.5115646133 0.0000000000
3.7400436479 39.9989553198 4.2346442643 -8.7529615600 2.5154410820 0.0000000000
3.7417403830 39.9988761502 4.2361126103 -8.7578049662 2.5193762438 0.0000000000
3.7434446844 39.9987986120 4.2375885723 -8.7626173320 2.5233543036 0.0000000000
3.7451493266 39.9987295202 4.2390818407 -8.7673962725 2.5274150507 0.0000000000
3.7468556357 39.9986522721 4.2405867055 -8.7721479053 2.5315330182 0.0000000000
3.7485709525 39.9985742326 4.2420981377 -8.7768660499 2.5356906419 0.0000000000
3.7502861054 39.9984893298 4.2436227251 -8.7815572332 2.5399115964 0.0000000000
