# logAge Mass logTe Mbol logg C/O
3.3300023169 90.0000000000 4.3076700000 -10.3539500000 2.5193425094 0.0000000000
3.3333717191 89.9998801648 4.3099505055 -10.3579186774 2.5268764823 0.0000000000
3.3367370131 89.9997574491 4.3122620575 -10.3617952614 2.5345714643 0.0000000000
3.3401090838 89.9996310119 4.3145951345 -10.3655518209 2.5424005386 0.0000000000
3.3434776943 89.9995127914 4.3169576257 -10.3692133686 2.5503853137 0.0000000000
3.3468503731 89.9993764283 4.3193398013 -10.3727664436 2.5584921280 0.0000000000
3.3502170546 89.9992409896 4.3217543963 -10.3762166123 2.5667697870 0.0000000000
3.3535869755 89.9991110206 4.3241994708 -10.3795108958 2.5752317445 0.0000000000
3.3569559624 89.9989673990 4.3266634233 -10.3827187024 2.5838037389 0.0000000000
3.3603197670 89.9988247283 4.3291598026 -10.3858011302 2.5925555966 0.0000000000
3.3636860158 89.9986816796 4.3316803068 -10.3887412724 2.6014608660 0.0000000000
3.3670494965 89.9985392205 4.3342278580 -10.3915527695 2.6105257846 0.0000000000
3.3704074986 89.9983909290 4.3368016311 -10.3942516293 2.6197406175 0.0000000000
3.3737656327 89.9982344826 4.3393963259 -10.3968181980 2.6290920142 0.0000000000
3.3771163482 89.9980791178 4.3420224630 -10.3992420077 2.6386262892 0.0000000000
3.3804653832 89.9979250427 4.3446689441 -10.4015391580 2.6482926096 0.0000000000
3.3838101375 89.9977609027 4.3473376062 -10.4037070185 2.6580993218 0.0000000000
3.3871500761 89.9976041558 4.3500288145 -10.4057466063 2.6680475636 0.0000000000
3.3904843246 89.9974371172 4.3527453724 -10.4076228085 2.6781625085 0.0000000000
3.3938140883 89.9972632111 4.3554784297 -10.4093921713 2.6883861531 0.0000000000
3.3971342310 89.9970936195 4.3582367569 -10.4110264858 2.6987649176 0.0000000000
3.4004531233 89.9969152402 4.3610108436 -10.4124963260 2.7092724677 0.0000000000
3.4037666409 89.9967370769 4.3637990898 -10.4138710120 2.7198747183 0.0000000000
3.4070738692 89.9965586614 4.3666042143 -10.4151210043 2.7305943586 0.0000000000
3.4103738314 89.9963814209 4.3694281305 -10.4162169551 2.7414507877 0.0000000000
3.4136743595 89.9961912219 4.3722560781 -10.4172205548 2.7523602204 0.0000000000
3.4169625583 89.9960022636 4.3751057426 -10.4180837847 2.7634126743 0.0000000000
3.4202489835 89.9958135903 4.3779630693 -10.4188247125 2.7745446997 0.0000000000
3.4235267280 89.9956144345 4.3808325540 -10.4194898342 2.7857556287 0.0000000000
3.4268058610 89.9954560804 4.3837068632 -10.4200169296 2.7970412631 0.0000000000
3.4300791353 89.9954574381 4.3865949728 -10.4204847359 2.8084065854 0.0000000000
3.4333515017 89.9954418119 4.3894863955 -10.4208255587 2.8198358719 0.0000000000
3.4366243396 89.9954296948 4.3923788297 -10.4210801609 2.8313037093 0.0000000000
3.4398871358 89.9954173000 4.3952834972 -10.4212571369 2.8428515291 0.0000000000
3.4431517722 89.9954049700 4.3981867139 -10.4213548259 2.8544252609 0.0000000000
3.4464125711 89.9953926395 4.4010945304 -10.4213609795 2.8660540058 0.0000000000
3.4496704153 89.9953801578 4.4040054153 -10.4212766366 2.8777312226 0.0000000000
3.4529302122 89.9953661142 4.4069138236 -10.4211463749 2.8894168925 0.0000000000
3.4561893328 89.9953442328 4.4098224305 -10.4209540936 2.9011281270 0.0000000000
3.4594498782 89.9953345964 4.4127284410 -10.4206846502 2.9128599001 0.0000000000
3.4627107637 89.9953115681 4.4156334551 -10.4203766136 2.9246030597 0.0000000000
3.4659716100 89.9952978958 4.4185374831 -10.4200108949 2.9363653933 0.0000000000
3.4692299052 89.9952761718 4.4214432879 -10.4195980785 2.9481536344 0.0000000000
3.4724955925 89.9952585423 4.4243397648 -10.4191397974 2.9599227690 0.0000000000
3.4757627043 89.9952422529 4.4272335080 -10.4186405242 2.9716973726 0.0000000000
3.4790321292 89.9952197607 4.4301240489 -10.4181206016 2.9834673969 0.0000000000
3.4823089369 89.9951974165 4.4330051979 -10.4175666458 2.9952134674 0.0000000000
3.4855842502 89.9951820827 4.4358873376 -10.4169888211 3.0069730818 0.0000000000
3.4888664337 89.9951564815 4.4387610289 -10.4163938055 3.0187057298 0.0000000000
3.4921557385 89.9951323915 4.4416260468 -10.4157831721 3.0304099385 0.0000000000
3.4954497893 89.9951081891 4.4444856840 -10.4151747008 3.0420917592 0.0000000000
3.4987523130 89.9950807105 4.4473354842 -10.4145658602 3.0537343635 0.0000000000
3.5020555688 89.9950484157 4.4501843562 -10.4139559037 3.0653736782 0.0000000000
3.5053720573 89.9950247931 4.4530184869 -10.4133639898 3.0769468527 0.0000000000
3.5086902059 89.9950007675 4.4558520164 -10.4128131112 3.0885012060 0.0000000000
3.5120220747 89.9949656306 4.4586693549 -10.4122647152 3.0999897489 0.0000000000
3.5153557649 89.9949391130 4.4614845094 -10.4117121890 3.1114712497 0.0000000000
3.5186962727 89.9948998968 4.4642925848 -10.4111987082 3.1229087543 0.0000000000
3.5220477491 89.9948734288 4.4670878703 -10.4106903816 3.1342930992 0.0000000000
3.5254033126 89.9948379516 4.4698786795 -10.4102004452 3.1456521394 0.0000000000
3.5287673009 89.9948015103 4.4726600494 -10.4097371715 3.1569627523 0.0000000000
3.5321360688 89.9947649296 4.4754351920 -10.4092581873 3.1682547398 0.0000000000
3.5355120818 89.9947280284 4.4782022164 -10.4088047905 3.1795040182 0.0000000000
3.5388897659 89.9946920901 4.4809670716 -10.4083460865 3.1907467471 0.0000000000
3.5422764425 89.9946443706 4.4837214566 -10.4079160573 3.2019360686 0.0000000000
3.5456716597 89.9946094687 4.4864649437 -10.4074641072 3.2130906285 0.0000000000
3.5490684344 89.9945669703 4.4892071355 -10.4070411980 3.2242283544 0.0000000000
3.5524725299 89.9945164305 4.4919399895 -10.4066140146 3.2353303998 0.0000000000
3.5558804814 89.9944788054 4.4946682654 -10.4061877448 3.2464138297 0.0000000000
3.5592970382 89.9944295805 4.4973855653 -10.4057610787 3.2574534582 0.0000000000
3.5627149963 89.9943813029 4.5001011539 -10.4053358554 3.2684856689 0.0000000000
3.5661390898 89.9943321686 4.5028088715 -10.4049061909 3.2794881681 0.0000000000
3.5695681479 89.9942842684 4.5055110646 -10.4045066282 3.2904565343 0.0000000000
3.5730048525 89.9942243831 4.5082027106 -10.4040838177 3.3013919538 0.0000000000
3.5764437806 89.9941772769 4.5108923044 -10.4036825217 3.3123106199 0.0000000000
3.5798877262 89.9941227653 4.5135749342 -10.4032658679 3.3232075374 0.0000000000
3.5833372565 89.9940614946 4.5162509258 -10.4028766514 3.3340668951 0.0000000000
3.5867935553 89.9940004591 4.5189173306 -10.4024534884 3.3449014846 0.0000000000
3.5902529330 89.9939510407 4.5215805831 -10.4020545923 3.3557138147 0.0000000000
3.5937157198 89.9938845848 4.5242385044 -10.4016347096 3.3665131322 0.0000000000
3.5971858361 89.9938174927 4.5268876174 -10.4012464785 3.3772645531 0.0000000000
3.6006565643 89.9937573982 4.5295353062 -10.4008259585 3.3880232263 0.0000000000
3.6041352003 89.9936963732 4.5321731280 -10.4004278543 3.3987334604 0.0000000000
3.6076156420 89.9936223903 4.5348075447 -10.4000017808 3.4094411997 0.0000000000
