#  Mix-Len	    Y 		 Z 		 [Fe/H]  [a/Fe]
#   1.884    0.2755  1.8757e-02   0.00    0.00
# 
#  Age =    120.00 Myr, No. Masses =   31
# 
#       N 			 Mass 		   log(g) 		 log(Teff) 		log(L/Lo) 		log(R/Ro)
    1.00000000     0.12000000     4.95115431     3.48666349    -2.53396932    -0.71705267
    2.00000000     0.13000000     4.95009342     3.49165930    -2.47824990    -0.69918667
    3.00000000     0.14000000     4.94855752     3.49608442    -2.42672442    -0.68227876
    4.00000000     0.15000000     4.94666000     3.50000981    -2.37901323    -0.66627864
    5.00000000     0.16000000     4.94447752     3.50349972    -2.33473774    -0.65112451
    6.00000000     0.17000000     4.94207753     3.50661673    -2.29351961    -0.63675175
    7.00000000     0.18000000     4.93952752     3.50942341    -2.25498049    -0.62309570
    8.00000000     0.19000000     4.93689496     3.51198234    -2.21874207    -0.61009173
    9.00000000     0.20000000     4.93424732     3.51435609    -2.18442599    -0.59767518
   10.00000000     0.21000000     4.93162066     3.51659621    -2.15168991    -0.58577854
   11.00000000     0.22000000     4.92892537     3.51870998    -2.12033544    -0.57432268
   12.00000000     0.23000000     4.92609680     3.52069798    -2.09023814    -0.56325093
   13.00000000     0.24000000     4.92329568     3.52257804    -2.06142546    -0.55260784
   14.00000000     0.25000000     4.92067926     3.52436946    -2.03391451    -0.54243523
   15.00000000     0.26000000     4.91816527     3.52608000    -2.00752895    -0.53266264
   16.00000000     0.27000000     4.91563036     3.52771824    -1.98205112    -0.52320151
   17.00000000     0.28000000     4.91302615     3.52930741    -1.95729134    -0.51400308
   18.00000000     0.29000000     4.91031224     3.53087236    -1.93306802    -0.50502465
   19.00000000     0.30000000     4.90740513     3.53243000    -1.90920410    -0.49620808
   20.00000000     0.31000000     4.90423335     3.53399273    -1.88555154    -0.48750251
   21.00000000     0.32000000     4.90081653     3.53556313    -1.86207400    -0.47890170
   22.00000000     0.33000000     4.89718217     3.53714337    -1.83874755    -0.47040370
   23.00000000     0.34000000     4.89329792     3.53874391    -1.81548619    -0.46197896
   24.00000000     0.35000000     4.88912358     3.54037622    -1.79219499    -0.45359556
   25.00000000     0.36000000     4.88464714     3.54204750    -1.76880525    -0.44523951
   26.00000000     0.37000000     4.87986517     3.54376513    -1.74525464    -0.43690116
   27.00000000     0.38000000     4.87478043     3.54554140    -1.72148001    -0.42857021
   28.00000000     0.39000000     4.86938956     3.54738802    -1.69741820    -0.42023366
   29.00000000     0.40000000     4.86365859     3.54930935    -1.67300680    -0.41186836
   30.00000000     0.41000000     4.85755435     3.55130900    -1.64818637    -0.40345258
   31.00000000     0.42000000     4.85107754     3.55339478    -1.62290843    -0.39498048
   32.00000000     0.43000000     4.84423467     3.55557566    -1.59712548    -0.38644907
   33.00000000     0.44000000     4.83702170     3.55786111    -1.57078305    -0.37785085
   34.00000000     0.45000000     4.82943805     3.56026325    -1.54382322    -0.36918023
   35.00000000     0.46000000     4.82150784     3.56280439    -1.51618123    -0.36044392
   36.00000000     0.47000000     4.81327302     3.56550825    -1.48780097    -0.35165767
   37.00000000     0.48000000     4.80482237     3.56839423    -1.45866758    -0.34286119
   38.00000000     0.49000000     4.79626074     3.57147768    -1.42880159    -0.33410261
   39.00000000     0.50000000     4.78771034     3.57476208    -1.39832359    -0.32543991
   40.00000000     0.51000000     4.77931712     3.57824488    -1.36740369    -0.31694292
   41.00000000     0.52000000     4.77130456     3.58191123    -1.33630965    -0.30871930
   42.00000000     0.53000000     4.76388663     3.58571670    -1.30541223    -0.30087241
   43.00000000     0.54000000     4.75716196     3.58951078    -1.27539647    -0.29345098
   44.00000000     0.55000000     4.75120552     3.59313762    -1.24695155    -0.28649122
   45.00000000     0.56000000     4.74611316     3.59652604    -1.22046901    -0.28003417
   46.00000000     0.57000000     4.74193349     3.59963674    -1.19616468    -0.27409795
   47.00000000     0.58000000     4.73850528     3.60247330    -1.17384915    -0.26860411
   48.00000000     0.59000000     4.73555109     3.60507837    -1.15305711    -0.26341637
   49.00000000     0.60000000     4.73253863     3.60760809    -1.13262487    -0.25826361
   50.00000000     0.61000000     4.72895119     3.61024113    -1.11131788    -0.25288173
   51.00000000     0.62000000     4.72458910     3.61313296    -1.08831661    -0.24716955
   52.00000000     0.63000000     4.71939459     3.61640387    -1.06308467    -0.24109753
   53.00000000     0.64000000     4.71356025     3.62005659    -1.03580317    -0.23475976
   54.00000000     0.65000000     4.70735974     3.62405054    -1.00690477    -0.22829105
   55.00000000     0.66000000     4.70114077     3.62828941    -0.97711077    -0.22186539
   56.00000000     0.67000000     4.69523474     3.63267319    -0.94714120    -0.21564824
   57.00000000     0.68000000     4.68983382     3.63714283    -0.91742250    -0.20973191
   58.00000000     0.69000000     4.68503152     3.64164676    -0.88825566    -0.20415958
   59.00000000     0.70000000     4.68066595     3.64612237    -0.85973353    -0.19885121
   60.00000000     0.71000000     4.67653012     3.65051689    -0.83186234    -0.19370434
   61.00000000     0.72000000     4.67249217     3.65482807    -0.80450988    -0.18865008
   62.00000000     0.73000000     4.66845401     3.65906719    -0.77752146    -0.18363561
   63.00000000     0.74000000     4.66437757     3.66324928    -0.75079081    -0.17863883
