# mass             age              teff              Lbol            radius           logg             MKO_Y            MKO_J            MKO_H            MKO_K            MKO_Lp           MKO_Mp           W1               W2               W3               W4               IRAC_CH1         IRAC_CH2         
  0.00050000       2.28546386E-01   217.41007511     -7.67093518      0.10313445       3.11057735       32.33039652      30.87790494      30.37619661      34.79874969      21.90876352      19.02394838      26.62203100      18.46285937      15.79327907      13.45940838      24.88931262      18.47851041     
  0.00050000       2.89426612E-01   205.44788419     -7.78610106      0.10115094       3.12744459       33.76638786      32.24681779      31.51743917      36.34516311      22.50509791      19.17991280      27.45579914      18.77870069      16.08510567      13.62763763      25.65044595      18.78273173     
  0.00100000       1.00000000E-03   865.42799351     -4.81854079      0.17365881       2.95902313       15.16606592      14.23048499      14.25196405      14.38805379      11.81330952      13.38890820      13.01980293      12.60166360      10.21438565      9.89678281       12.35802669      12.61194579     
  0.00100000       1.26638017E-03   829.69605935     -4.91881960      0.16833265       2.98607805       15.37340503      14.44528918      14.59335441      14.77730306      12.09552155      13.68759895      13.35937017      12.80992203      10.36290753      10.01580213      12.68143558      12.82901975     
  0.00100000       1.60371874E-03   791.89359273     -5.02588386      0.16336695       3.01208774       15.61198792      14.68892057      14.97191977      15.18503406      12.40586972      13.99961379      13.72812573      13.02012516      10.51441455      10.13422419      13.04126237      13.05252078     
  0.00100000       2.03091762E-03   749.86563713     -5.14501282      0.15884219       3.03648459       15.90477602      14.98561289      15.40384535      15.62520311      12.76155128      14.33623256      14.14608244      13.23858707      10.67306156      10.25420491      13.45945438      13.29157596     
  0.00100000       2.57191381E-03   708.16856041     -5.26703327      0.15475566       3.05912220       16.22957549      15.31148719      15.84559352      16.07191503      13.11850796      14.68692841      14.56377380      13.45861623      10.83271738      10.37388441      13.87996096      13.53376441     
  0.00100000       3.25702066E-03   669.57290720     -5.38547139      0.15104341       3.08021235       16.56077492      15.64219921      16.27037065      16.51566854      13.45202920      15.04645439      14.95528578      13.67720509      10.99070235      10.49276345      14.27026470      13.77192992     
  0.00100000       4.12462638E-03   631.32207116     -5.50738911      0.14764810       3.09995943       16.92496454      16.00800075      16.71047342      16.98683795      13.79658629      15.42425881      15.36012234      13.90274193      11.15436358      10.61440716      14.67316260      14.01863579     
  0.00100000       5.22334507E-03   594.83556078     -5.62911347      0.14456944       3.11826280       17.30771067      16.39279036      17.15139505      17.47803573      14.14785510      15.79893610      15.77611397      14.13061845      11.31969005      10.73557147      15.08305285      14.26814672     
  0.00100000       6.61474064E-03   565.04774105     -5.73590495      0.14167681       3.13581724       17.67914251      16.76386882      17.54807959      17.93041357      14.46054825      16.11696804      16.14987521      14.33690873      11.47215371      10.84741201      15.44887996      14.49227049     
  0.00100000       8.37677640E-03   534.56688534     -5.84907425      0.13896059       3.15263154       18.07815621      17.16165368      17.97740433      18.42737469      14.78197275      16.42644645      16.54368091      14.55093972      11.63462113      10.96330366      15.82795743      14.72107016     
  0.00100000       1.06081836E-02   503.75350709     -5.96813753      0.13643706       3.16855040       18.54561724      17.62306576      18.44258735      18.98510001      15.11588091      16.77135273      16.96227492      14.78693019      11.81120207      11.08800151      16.22505607      14.96991313     
  0.00100000       1.34339933E-02   475.31987199     -6.08417855      0.13408046       3.18368382       19.02100246      18.08700739      18.90213118      19.56671623      15.47704051      17.19156484      17.41663218      15.03152246      11.98603007      11.20914219      16.66458097      15.23838981     
  0.00100000       1.70125428E-02   447.83871629     -6.20196113      0.13188460       3.19802625       19.60252009      18.64676992      19.44168753      20.23346682      15.83775616      17.43444354      17.89232475      15.25330065      12.18741386      11.34318583      17.10504233      15.46242973     
  0.00100000       2.15443469E-02   425.11567308     -6.30634546      0.12978918       3.21193784       20.15133005      19.17671195      19.94995161      20.89744065      16.18657041      17.72924181      18.35959045      15.48052804      12.38102439      11.47078047      17.53942713      15.69240433     
  0.00100000       2.72833338E-02   402.51025340     -6.41478244      0.12778669       3.22544345       20.74557502      19.75877310      20.49838904      21.59008679      16.55665734      17.91184426      18.86210150      15.69215408      12.58541723      11.60208468      18.00171674      15.90558428     
  0.00100000       3.45510729E-02   385.91578253     -6.50142185      0.12581440       3.23895396       21.23606218      20.24404598      20.95330261      22.17427834      16.84493674      18.02987176      19.26499296      15.84329331      12.75942408      11.71340910      18.37025126      16.04486385     
  0.00100000       4.37547938E-02   369.04705714     -6.59279962      0.12384143       3.25268274       21.77764067      20.79960927      21.48222936      22.84609024      17.16820500      18.06992663      19.72947125      16.00522665      12.95844392      11.83678128      18.78904202      16.19788435     
  0.00100000       5.54102033E-02   351.38956346     -6.69166967      0.12190148       3.26639663       22.46902405      21.50093616      22.12901535      23.71321095      17.55710899      18.10601891      20.28834943      16.20432436      13.20654628      11.98301117      19.28283147      16.38723772     
  0.00100000       7.01703829E-02   338.06217823     -6.77255577      0.11999113       3.28011613       22.98177993      22.02962198      22.60629422      24.35368179      17.80664282      18.13483382      20.68490174      16.31958895      13.39155657      12.09355628      19.63272679      16.48231718     
  0.00100000       8.88623816E-02   324.07038190     -6.86002714      0.11806652       3.29416106       23.62022324      22.66682746      23.17872704      25.16076073      18.15240155      18.13860115      21.17347676      16.49035778      13.61854005      12.22608810      20.05754063      16.63723290     
  0.00100000       1.12533558E-01   309.42394319     -6.95448344      0.11616531       3.30826162       24.36168125      23.41120118      23.83945867      26.09770111      18.51294839      18.07300247      21.72186175      16.64636007      13.87569230      12.37068752      20.52948401      16.76885038     
  0.00100000       1.42510267E-01   295.12536590     -7.05056180      0.11432382       3.32214153       25.10646466      24.13776024      24.47826479      27.00773677      18.85798961      17.99308871      22.25607106      16.78602831      14.12169341      12.51000737      20.98302375      16.88658779     
  0.00100000       1.80472177E-01   281.63817729     -7.14549695      0.11253677       3.33582577       25.94959875      24.94150479      25.18084562      28.01136501      19.22666849      17.85882340      22.83177513      16.92205391      14.38572659      12.65476545      21.46849380      16.99342184     
