#  Mix-Len	    Y 		 Z 		 [Fe/H]  [a/Fe]
#   1.884    0.2755  1.8757e-02   0.00    0.00
# 
#  Age =     20.00 Myr, No. Masses =   31
# 
#       N 			 Mass 		   log(g) 		 log(Teff) 		log(L/Lo) 		log(R/Ro)
    1.00000000     0.12000000     4.42765762     3.49384869    -1.98175154    -0.45530815
    2.00000000     0.13000000     4.42674870     3.49720525    -1.93274568    -0.43751716
    3.00000000     0.14000000     4.42557155     3.50029227    -1.88694022    -0.42079021
    4.00000000     0.15000000     4.42440329     3.50314095    -1.84427238    -0.40515678
    5.00000000     0.16000000     4.42333079     3.50577868    -1.80451936    -0.39055942
    6.00000000     0.17000000     4.42239332     3.50823188    -1.76741840    -0.37691893
    7.00000000     0.18000000     4.42163018     3.51052696    -1.73270672    -0.36415612
    8.00000000     0.19000000     4.42108064     3.51269035    -1.70012154    -0.35219181
    9.00000000     0.20000000     4.42078399     3.51474847    -1.66940009    -0.34094680
   10.00000000     0.21000000     4.42064706     3.51672258    -1.64019417    -0.33028948
   11.00000000     0.22000000     4.42004697     3.51861326    -1.61181394    -0.31987848
   12.00000000     0.23000000     4.41855958     3.52042001    -1.58379117    -0.30948065
   13.00000000     0.24000000     4.41708577     3.52215865    -1.55688585    -0.29950522
   14.00000000     0.25000000     4.41653159     3.52384608    -1.53185649    -0.29036311
   15.00000000     0.26000000     4.41649895     3.52548742    -1.50822766    -0.28182948
   16.00000000     0.27000000     4.41641602     3.52708516    -1.48536690    -0.27359569
   17.00000000     0.28000000     4.41632009     3.52864306    -1.46324787    -0.26565389
   18.00000000     0.29000000     4.41636512     3.53016635    -1.44195784    -0.25805586
   19.00000000     0.30000000     4.41656251     3.53166497    -1.42143261    -0.25079125
   20.00000000     0.31000000     4.41688798     3.53314720    -1.40158242    -0.24383354
   21.00000000     0.32000000     4.41731703     3.53461010    -1.38236674    -0.23715350
   22.00000000     0.33000000     4.41783094     3.53604951    -1.36375710    -0.23072567
   23.00000000     0.34000000     4.41843448     3.53746768    -1.34572374    -0.22454224
   24.00000000     0.35000000     4.41913233     3.53886774    -1.32823408    -0.21859641
   25.00000000     0.36000000     4.41990551     3.54025008    -1.31124526    -0.21286776
   26.00000000     0.37000000     4.42073104     3.54161486    -1.29471358    -0.20733348
   27.00000000     0.38000000     4.42159366     3.54296381    -1.27860223    -0.20197493
   28.00000000     0.39000000     4.42248339     3.54429874    -1.26287938    -0.19677744
   29.00000000     0.40000000     4.42340346     3.54562000    -1.24752630    -0.19173815
   30.00000000     0.41000000     4.42435941     3.54692865    -1.23252477    -0.18685548
   31.00000000     0.42000000     4.42535261     3.54823000    -1.21784544    -0.18212130
   32.00000000     0.43000000     4.42638444     3.54952925    -1.20346060    -0.17752764
   33.00000000     0.44000000     4.42746040     3.55082676    -1.18936013    -0.17307358
   34.00000000     0.45000000     4.42858046     3.55212266    -1.17553008    -0.16875573
   35.00000000     0.46000000     4.42971833     3.55342096    -1.16192351    -0.16455368
   36.00000000     0.47000000     4.43084691     3.55472606    -1.14849139    -0.16044686
   37.00000000     0.48000000     4.43196219     3.55604000    -1.13520926    -0.15643110
   38.00000000     0.49000000     4.43305794     3.55736423    -1.12205300    -0.15250138
   39.00000000     0.50000000     4.43409579     3.55870019    -1.10897503    -0.14863290
   40.00000000     0.51000000     4.43503981     3.56004874    -1.09593218    -0.14480217
   41.00000000     0.52000000     4.43589577     3.56140837    -1.08292228    -0.14101079
   42.00000000     0.53000000     4.43667674     3.56277834    -1.06994874    -0.13726442
   43.00000000     0.54000000     4.43738325     3.56416339    -1.05699640    -0.13355997
   44.00000000     0.55000000     4.43801290     3.56556691    -1.04405141    -0.12989233
   45.00000000     0.56000000     4.43856402     3.56698144    -1.03112391    -0.12625701
   46.00000000     0.57000000     4.43903670     3.56840021    -1.01822396    -0.12265065
   47.00000000     0.58000000     4.43943749     3.56983000    -1.00533736    -0.11907374
   48.00000000     0.59000000     4.43977644     3.57128081    -0.99244347    -0.11552917
   49.00000000     0.60000000     4.44007139     3.57276183    -0.97952014    -0.11202570
   50.00000000     0.61000000     4.44033844     3.57427975    -0.96654857    -0.10857095
   51.00000000     0.62000000     4.44057907     3.57583220    -0.95352491    -0.10516222
   52.00000000     0.63000000     4.44079353     3.57741981    -0.94043456    -0.10179592
   53.00000000     0.64000000     4.44099166     3.57906447    -0.92720498    -0.09847523
   54.00000000     0.65000000     4.44117907     3.58078624    -0.91376876    -0.09520169
   55.00000000     0.66000000     4.44133468     3.58257663    -0.90013697    -0.09196361
   56.00000000     0.67000000     4.44143632     3.58442338    -0.88633042    -0.08874867
