#  Mix-Len	    Y 		 Z 		 [Fe/H]  [a/Fe]
#   1.884    0.2755  1.8757e-02   0.00    0.00
# 
#  Age =    110.00 Myr, No. Masses =   31
# 
#       N 			 Mass 		   log(g) 		 log(Teff) 		log(L/Lo) 		log(R/Ro)
    1.00000000     0.12000000     4.92772135     3.48733936    -2.50781480    -0.70534068
    2.00000000     0.13000000     4.92679735     3.49219988    -2.45279591    -0.68754226
    3.00000000     0.14000000     4.92544702     3.49651717    -2.40191205    -0.67072851
    4.00000000     0.15000000     4.92377844     3.50035703    -2.35479289    -0.65484431
    5.00000000     0.16000000     4.92186279     3.50377966    -2.31106832    -0.63982447
    6.00000000     0.17000000     4.91976206     3.50684383    -2.27036827    -0.62560127
    7.00000000     0.18000000     4.91753819     3.50960834    -2.23232270    -0.61210701
    8.00000000     0.19000000     4.91525316     3.51213198    -2.19656154    -0.59927398
    9.00000000     0.20000000     4.91296894     3.51447355    -2.16271474    -0.58703447
   10.00000000     0.21000000     4.91071450     3.51668228    -2.13044428    -0.57531810
   11.00000000     0.22000000     4.90838697     3.51876924    -2.09954038    -0.56404387
   12.00000000     0.23000000     4.90590863     3.52073892    -2.06986431    -0.55315185
   13.00000000     0.24000000     4.90343430     3.52260768    -2.04143357    -0.54267715
   14.00000000     0.25000000     4.90112452     3.52439211    -2.01426595    -0.53265702
   15.00000000     0.26000000     4.89892988     3.52609778    -1.98822433    -0.52304216
   16.00000000     0.27000000     4.89675067     3.52773162    -1.96312198    -0.51376126
   17.00000000     0.28000000     4.89449565     3.52931700    -1.93872864    -0.50474132
   18.00000000     0.29000000     4.89208492     3.53087860    -1.91482596    -0.49591603
   19.00000000     0.30000000     4.88947540     3.53243000    -1.89128660    -0.48724740
   20.00000000     0.31000000     4.88664382     3.53398053    -1.86802037    -0.47870970
   21.00000000     0.32000000     4.88360941     3.53553357    -1.84499443    -0.47029792
   22.00000000     0.33000000     4.88038834     3.53709234    -1.82217528    -0.46200564
   23.00000000     0.34000000     4.87694216     3.53866525    -1.79946942    -0.45380020
   24.00000000     0.35000000     4.87322755     3.54026191    -1.77677671    -0.44564756
   25.00000000     0.36000000     4.86923647     3.54189166    -1.75403049    -0.43753440
   26.00000000     0.37000000     4.86496940     3.54356416    -1.73117156    -0.42945218
   27.00000000     0.38000000     4.86042585     3.54529080    -1.70813698    -0.42139075
   28.00000000     0.39000000     4.85559823     3.54708176    -1.68486310    -0.41333668
   29.00000000     0.40000000     4.85045172     3.54894047    -1.66128706    -0.40526516
   30.00000000     0.41000000     4.84495214     3.55087022    -1.63734725    -0.39715234
   31.00000000     0.42000000     4.83909526     3.55288029    -1.61298628    -0.38898958
   32.00000000     0.43000000     4.83288177     3.55498102    -1.58814840    -0.38077146
   33.00000000     0.44000000     4.82630212     3.55718105    -1.56278005    -0.37249010
   34.00000000     0.45000000     4.81934652     3.55949157    -1.53681860    -0.36413680
   35.00000000     0.46000000     4.81201436     3.56193565    -1.51016267    -0.35570196
   36.00000000     0.47000000     4.80432026     3.56453986    -1.48271227    -0.34718413
   37.00000000     0.48000000     4.79633056     3.56733277    -1.45441156    -0.33861528
   38.00000000     0.49000000     4.78812495     3.57034074    -1.42522556    -0.33003468
   39.00000000     0.50000000     4.77978489     3.57357908    -1.39515853    -0.32147744
   40.00000000     0.51000000     4.77141539     3.57706206    -1.36424564    -0.31299043
   41.00000000     0.52000000     4.76321400     3.58081047    -1.33260615    -0.30467200
   42.00000000     0.53000000     4.75537865     3.58482092    -1.30045684    -0.29662051
   43.00000000     0.54000000     4.74801630     3.58898651    -1.26832026    -0.28888315
   44.00000000     0.55000000     4.74123540     3.59318507    -1.23677952    -0.28150780
   45.00000000     0.56000000     4.73524133     3.59733679    -1.20635419    -0.27459633
   46.00000000     0.57000000     4.73024880     3.60136014    -1.17758200    -0.26825596
   47.00000000     0.58000000     4.72641296     3.60512450    -1.15113706    -0.26256148
