# logAge Mass logTe Mbol logg C/O
3.4149747854 75.0000000000 4.2060600000 -9.9409750000 2.1989112634 0.0000000000
3.4169642139 74.9975336300 4.2066601847 -9.9460196140 2.1992798746 0.0000000000
3.4189402878 74.9950395672 4.2072544185 -9.9510161640 2.1996437469 0.0000000000
3.4209045724 74.9925175465 4.2078440212 -9.9559570527 2.2000111970 0.0000000000
3.4228608523 74.9899726365 4.2084382367 -9.9608409293 2.2004197704 0.0000000000
3.4248099581 74.9873982467 4.2090349750 -9.9656431249 2.2008709357 0.0000000000
3.4267481575 74.9847914557 4.2096304597 -9.9703643904 2.2013492707 0.0000000000
3.4286729244 74.9821645223 4.2102299784 -9.9750466352 2.2018592325 0.0000000000
3.4305853513 74.9795080209 4.2108179839 -9.9796649133 2.2023485568 0.0000000000
3.4324837580 74.9768319137 4.2114015972 -9.9842520675 2.2028326477 0.0000000000
3.4343696994 74.9741378720 4.2119816704 -9.9888084185 2.2033147949 0.0000000000
3.4362430705 74.9714201523 4.2125620995 -9.9933085707 2.2038207072 0.0000000000
3.4381034319 74.9686790716 4.2131455603 -9.9977512296 2.2043616079 0.0000000000
3.4399521609 74.9659196725 4.2137247437 -10.0021566184 2.2049002007 0.0000000000
3.4417870308 74.9631385228 4.2142990897 -10.0065164599 2.2054375360 0.0000000000
3.4436074368 74.9603372439 4.2148778111 -10.0108298476 2.2060108372 0.0000000000
3.4454147106 74.9575154066 4.2154496392 -10.0150994248 2.2065739697 0.0000000000
3.4472085861 74.9546736918 4.2160153211 -10.0193269040 2.2071292407 0.0000000000
3.4489883064 74.9518145077 4.2165926343 -10.0235080641 2.2077494628 0.0000000000
3.4507563339 74.9489355381 4.2171734007 -10.0276320149 2.2084062661 0.0000000000
3.4525091985 74.9460350815 4.2177479952 -10.0317073652 2.2090576969 0.0000000000
3.4542496474 74.9431176410 4.2183255032 -10.0357374829 2.2097387754 0.0000000000
3.4559802992 74.9401846507 4.2189130858 -10.0397138812 2.2104815494 0.0000000000
3.4576968042 74.9372307314 4.2195011586 -10.0436309032 2.2112499130 0.0000000000
3.4593980276 74.9342591146 4.2200891698 -10.0475058611 2.2120347524 0.0000000000
3.4610879090 74.9312705152 4.2206828002 -10.0513242678 2.2128645899 0.0000000000
3.4627667880 74.9282644409 4.2212854984 -10.0550779990 2.2137564674 0.0000000000
3.4644316245 74.9252414487 4.2218947187 -10.0587789046 2.2146954639 0.0000000000
3.4660876218 74.9222017532 4.2225058818 -10.0624165116 2.2156674543 0.0000000000
3.4677298362 74.9191457440 4.2231206307 -10.0660036453 2.2166738813 0.0000000000
3.4693568943 74.9160744273 4.2237413811 -10.0695454875 2.2177223420 0.0000000000
3.4709755637 74.9129888089 4.2243687834 -10.0730258440 2.2188219207 0.0000000000
3.4725794693 74.9098878476 4.2250077660 -10.0764499315 2.2199902382 0.0000000000
3.4741713844 74.9067725270 4.2256525812 -10.0798204798 2.2212032182 0.0000000000
3.4757550344 74.9036434196 4.2262978559 -10.0831344141 2.2224406007 0.0000000000
3.4773220867 74.9004981626 4.2269524564 -10.0863900036 2.2237385303 0.0000000000
3.4788769714 74.8973411344 4.2276151592 -10.0896006487 2.2250867776 0.0000000000
3.4804231808 74.8941737400 4.2282823475 -10.0927672686 2.2264705165 0.0000000000
3.4819568878 74.8909914548 4.2289537946 -10.0958723871 2.2278958036 0.0000000000
3.4834783983 74.8877954980 4.2296314666 -10.0989184979 2.2293695136 0.0000000000
3.4849877981 74.8845875485 4.2303209293 -10.1019061032 2.2309137181 0.0000000000
3.4864847312 74.8813682285 4.2310252464 -10.1048341997 2.2325410769 0.0000000000
3.4879720153 74.8781384891 4.2317296019 -10.1077212672 2.2341849397 0.0000000000
3.4894487469 74.8748982182 4.2324355162 -10.1105653953 2.2358521516 0.0000000000
3.4909118381 74.8716465560 4.2331557339 -10.1133493915 2.2376005632 0.0000000000
3.4923638132 74.8683835430 4.2338813862 -10.1160775255 2.2393929909 0.0000000000
3.4938056776 74.8651103079 4.2346087928 -10.1187591535 2.2412109785 0.0000000000
3.4952362872 74.8618285967 4.2353432921 -10.1214013464 2.2430730608 0.0000000000
3.4966562740 74.8585392073 4.2360887746 -10.1240002504 2.2449963461 0.0000000000
3.4980658075 74.8552409692 4.2368447901 -10.1265449615 2.2469833886 0.0000000000
3.4994641778 74.8519314870 4.2376067624 -10.1290247167 2.2490201744 0.0000000000
3.5008524240 74.8486137368 4.2383736900 -10.1314616366 2.2510938664 0.0000000000
3.5022308756 74.8452896558 4.2391469720 -10.1338664052 2.2532057994 0.0000000000
3.5035973632 74.8419554881 4.2399293852 -10.1362065613 2.2553800426 0.0000000000
3.5049526872 74.8386130157 4.2407192859 -10.1384979400 2.2576036975 0.0000000000
3.5062990026 74.8352664064 4.2415134640 -10.1407755743 2.2598499355 0.0000000000
3.5076347820 74.8319120574 4.2423152262 -10.1430024392 2.2621467714 0.0000000000
3.5089597419 74.8285478961 4.2431254008 -10.1451578019 2.2645057998 0.0000000000
3.5102766019 74.8251770379 4.2439392673 -10.1472713066 2.2668962998 0.0000000000
3.5115846725 74.8218013891 4.2447602498 -10.1493510022 2.2693287582 0.0000000000
3.5128815331 74.8184208032 4.2455940960 -10.1513881073 2.2718296782 0.0000000000
3.5141677419 74.8150308273 4.2464318515 -10.1533742140 2.2743665797 0.0000000000
3.5154459844 74.8116327431 4.2472681226 -10.1553126375 2.2769165686 0.0000000000
3.5167208079 74.8082402126 4.2481122535 -10.1572279483 2.2795072734 0.0000000000
3.5179807739 74.8048354204 4.2489621411 -10.1591070646 2.2821354102 0.0000000000
3.5192069411 74.8013831522 4.2498073626 -10.1609108313 2.2847747464 0.0000000000
3.5204618609 74.7979938927 4.2506832786 -10.1627326238 2.2875300151 0.0000000000
3.5217840466 74.7947349724 4.2516100164 -10.1646271462 2.2904602347 0.0000000000
3.5228820509 74.7910824855 4.2524135458 -10.1661129527 2.2930588212 0.0000000000
3.5237909306 74.7871017825 4.2531173020 -10.1672624267 2.2953909408 0.0000000000
3.5257176910 74.7849696862 4.2544490053 -10.1701165369 2.2995637284 0.0000000000
3.5285722285 74.7845196688 4.2563565109 -10.1745493103 2.3054180280 0.0000000000
3.5313268788 74.7838820903 4.2582370495 -10.1787497294 2.3112563122 0.0000000000
3.5340847341 74.7832622902 4.2602027536 -10.1828021328 2.3174945678 0.0000000000
3.5368385712 74.7826354703 4.2622280491 -10.1866719990 2.3240441632 0.0000000000
3.5395750040 74.7819918654 4.2643019797 -10.1904372303 2.3308300554 0.0000000000
3.5423067941 74.7813423603 4.2664295007 -10.1940267975 2.3379005407 0.0000000000
3.5450186383 74.7806939820 4.2686239992 -10.1974565910 2.3453028517 0.0000000000
3.5477176360 74.7800252667 4.2708681152 -10.2007205675 2.3529698413 0.0000000000
3.5504031343 74.7793523927 4.2731585161 -10.2038453298 2.3608776322 0.0000000000
3.5530742496 74.7786661349 4.2754913271 -10.2068289087 2.3690114589 0.0000000000
3.5557285720 74.7779780347 4.2778746292 -10.2096503111 2.3774121103 0.0000000000
3.5583642507 74.7772803573 4.2802983295 -10.2123483682 2.3860236366 0.0000000000
3.5609850740 74.7765735313 4.2827615554 -10.2148939664 2.3948541959 0.0000000000
3.5635899443 74.7758580186 4.2852582261 -10.2173204060 2.4038661472 0.0000000000
3.5661813734 74.7751338491 4.2877840926 -10.2196287667 2.4130420628 0.0000000000
3.5687541736 74.7744007904 4.2903426412 -10.2218225681 2.4223944789 0.0000000000
3.5713110296 74.7736710268 4.2929366188 -10.2238743690 2.4319454307 0.0000000000
3.5738575964 74.7729239901 4.2955466061 -10.2258391770 2.4415951177 0.0000000000
3.5763866411 74.7721688294 4.2981836593 -10.2276971047 2.4513957733 0.0000000000
3.5789019546 74.7714062221 4.3008403877 -10.2294754369 2.4613069244 0.0000000000
3.5814039828 74.7706360794 4.3035177325 -10.2311550351 2.4713399911 0.0000000000
3.5838947500 74.7698595550 4.3062114789 -10.2327546265 2.4814706298 0.0000000000
3.5863753024 74.7690675536 4.3089182415 -10.2342666811 2.4916882581 0.0000000000
3.5888414324 74.7682715962 4.3116443184 -10.2356934422 2.5020172378 0.0000000000
3.5912983087 74.7674644847 4.3143820641 -10.2370393087 2.5124251860 0.0000000000
3.5937429229 74.7666561455 4.3171353000 -10.2383208980 2.5229207984 0.0000000000
3.5961821285 74.7658332839 4.3198936715 -10.2395385533 2.5334624425 0.0000000000
3.5986090736 74.7650016129 4.3226645263 -10.2406932894 2.5440791363 0.0000000000
3.6010279755 74.7641633387 4.3254461297 -10.2417585958 2.5547745581 0.0000000000
3.6034365923 74.7633079992 4.3282336580 -10.2427874144 2.5655081752 0.0000000000
3.6058376191 74.7624466865 4.3310294413 -10.2437540651 2.5762996448 0.0000000000
3.6082367935 74.7615840493 4.3338306902 -10.2446396203 2.5871454071 0.0000000000
3.6106252118 74.7606970770 4.3366349390 -10.2454974221 2.5980141293 0.0000000000
3.6130111025 74.7598114212 4.3394436547 -10.2463144158 2.6089170498 0.0000000000
3.6153886712 74.7589090411 4.3422576446 -10.2470526190 2.6198724859 0.0000000000
3.6177617168 74.7579981212 4.3450735462 -10.2477695032 2.6308440467 0.0000000000
3.6201254559 74.7570722932 4.3478940402 -10.2484453440 2.6418503082 0.0000000000
3.6224888122 74.7561401103 4.3507144591 -10.2490758927 2.6528743486 0.0000000000
3.6248518882 74.7551950960 4.3535320973 -10.2496690283 2.6639021571 0.0000000000
3.6272097418 74.7542350630 4.3563501777 -10.2502287688 2.6749450053 0.0000000000
3.6295654328 74.7532708375 4.3591694590 -10.2507599809 2.6860040435 0.0000000000
3.6319157647 74.7522914692 4.3619896653 -10.2512339894 2.6970895754 0.0000000000
3.6342653703 74.7512953663 4.3648045868 -10.2517085812 2.7081536375 0.0000000000
3.6366192511 74.7502931914 4.3676146086 -10.2521516711 2.7192106665 0.0000000000
3.6389665621 74.7492717845 4.3704240592 -10.2525586557 2.7302797408 0.0000000000
3.6413103932 74.7482396868 4.3732335816 -10.2529172850 2.7413683818 0.0000000000
3.6436512206 74.7471968974 4.3760418018 -10.2532681810 2.7524548456 0.0000000000
3.6459956685 74.7461383598 4.3788414862 -10.2535988790 2.7635151537 0.0000000000
3.6483406670 74.7450681556 4.3816370527 -10.2538857734 2.7745764437 0.0000000000
3.6506765760 74.7439889557 4.3844372828 -10.2541397471 2.7856695042 0.0000000000
3.6530131104 74.7428951597 4.3872318744 -10.2543495562 2.7967575914 0.0000000000
3.6553503295 74.7417776364 4.3900167723 -10.2545378673 2.8078153652 0.0000000000
3.6576843830 74.7406590272 4.3928041244 -10.2547028336 2.8188922870 0.0000000000
3.6600142303 74.7395274214 4.3955899892 -10.2548345476 2.8299764851 0.0000000000
3.6623396019 74.7383758723 4.3983717566 -10.2549233049 2.8410613603 0.0000000000
3.6646667968 74.7372160523 4.4011485755 -10.2549864559 2.8521366362 0.0000000000
3.6669919721 74.7360375376 4.4039192579 -10.2550043815 2.8632053470 0.0000000000
3.6693145365 74.7348521238 4.4066895828 -10.2549981839 2.8742822372 0.0000000000
3.6716299084 74.7336420177 4.4094547050 -10.2549667254 2.8853482773 0.0000000000
3.6739540469 74.7324512238 4.4122215939 -10.2548932945 2.8964382851 0.0000000000
3.6763509176 74.7315882811 4.4150584512 -10.2548438467 2.9078004786 0.0000000000
3.6788014979 74.7311597660 4.4179411818 -10.2547941235 2.9193487998 0.0000000000
3.6812685678 74.7310716021 4.4208357885 -10.2547154593 2.9309581801 0.0000000000
3.6837289063 74.7309557458 4.4237347576 -10.2546098708 2.9425956186 0.0000000000
3.6861933081 74.7308460116 4.4266301841 -10.2544520978 2.9542397960 0.0000000000
3.6886557543 74.7307356704 4.4295267226 -10.2542439254 2.9659085779 0.0000000000
3.6911175977 74.7306231550 4.4324230964 -10.2539891502 2.9775953291 0.0000000000
3.6935762114 74.7304932790 4.4353211247 -10.2537099855 2.9892983535 0.0000000000
3.6960132114 74.7303753156 4.4382370562 -10.2533819827 3.0010925953 0.0000000000
3.6984249163 74.7302472423 4.4411727650 -10.2530146210 3.0129816308 0.0000000000
3.7008097985 74.7301128118 4.4441296131 -10.2526271036 3.0249632489 0.0000000000
3.7031815565 74.7299797455 4.4470955793 -10.2521741571 3.0370075187 0.0000000000
3.7055360527 74.7298390493 4.4500751117 -10.2517292722 3.0491027847 0.0000000000
3.7078823605 74.7296901335 4.4530590647 -10.2512206999 3.0612411602 0.0000000000
3.7102129866 74.7295416733 4.4560547976 -10.2506936373 3.0734340542 0.0000000000
3.7125355923 74.7293970645 4.4590559071 -10.2501308857 3.0856627525 0.0000000000
3.7148480322 74.7292384080 4.4620634974 -10.2495472548 3.0979256441 0.0000000000
3.7171547593 74.7290753217 4.4650744138 -10.2489371889 3.1102123883 0.0000000000
3.7194611407 74.7289093150 4.4680839478 -10.2482832876 3.1225111200 0.0000000000
3.7217638658 74.7287398694 4.4710952411 -10.2476048846 3.1348266693 0.0000000000
3.7240630645 74.7285676567 4.4741083379 -10.2469071994 3.1471571298 0.0000000000
3.7263615772 74.7283809114 4.4771197648 -10.2461737414 3.1594951354 0.0000000000
3.7286562041 74.7281972283 4.4801329817 -10.2454064888 3.1718538364 0.0000000000
3.7309504760 74.7280066301 4.4831426888 -10.2445612034 3.1842296714 0.0000000000
3.7332454738 74.7278108951 4.4861517322 -10.2437205579 3.1966009656 0.0000000000
3.7355417518 74.7276085438 4.4891593561 -10.2428798329 3.2089665755 0.0000000000
3.7378369638 74.7273996098 4.4921653634 -10.2419961096 3.2213428797 0.0000000000
3.7401356681 74.7271852402 4.4951663248 -10.2410708258 3.2337155926 0.0000000000
3.7424422591 74.7269647047 4.4981591868 -10.2401140038 3.2460684878 0.0000000000
3.7447499605 74.7267391604 4.5011483924 -10.2391108278 3.2584252701 0.0000000000
3.7470651495 74.7265091931 4.5041300848 -10.2380822128 3.2707621488 0.0000000000
3.7493888298 74.7262675026 4.5071020068 -10.2370143493 3.2830755779 0.0000000000
3.7517195941 74.7260177966 4.5100651280 -10.2359023399 3.2953714151 0.0000000000
3.7540587870 74.7257657095 4.5130193149 -10.2347562399 3.3076451376 0.0000000000
3.7564077729 74.7255088679 4.5159627419 -10.2335697106 3.3198919644 0.0000000000
3.7587643028 74.7252424667 4.5188948091 -10.2323159561 3.3321201867 0.0000000000
3.7611315094 74.7249656961 4.5218141176 -10.2310164619 3.3443156099 0.0000000000
3.7635125561 74.7246858834 4.5247183634 -10.2296692619 3.3564698468 0.0000000000
3.7659089947 74.7244023434 4.5276051146 -10.2282635601 3.3685774845 0.0000000000
3.7683206990 74.7241049440 4.5304728008 -10.2267963444 3.3806333871 0.0000000000
3.7707459301 74.7237956751 4.5333213410 -10.2252527864 3.3926431737 0.0000000000
3.7731855629 74.7234823934 4.5361499409 -10.2236287454 3.4046053689 0.0000000000
3.7756438237 74.7231652485 4.5389546755 -10.2219282191 3.4165026744 0.0000000000
3.7781256010 74.7228354274 4.5417296986 -10.2201531085 3.4283108944 0.0000000000
3.7806281866 74.7224966952 4.5444751849 -10.2182860085 3.4400377106 0.0000000000
3.7831522039 74.7221517944 4.5471888360 -10.2163182664 3.4516774072 0.0000000000
3.7857022393 74.7217990780 4.5498652701 -10.2142526761 3.4632073298 0.0000000000
3.7882772295 74.7214371041 4.5525031963 -10.2120826573 3.4746249384 0.0000000000
3.7908776834 74.7210652985 4.5550989835 -10.2097982052 3.4859197070 0.0000000000
3.7935087552 74.7206842603 4.5576439265 -10.2073888015 3.4970610257 0.0000000000
3.7961714760 74.7202947025 4.5601344815 -10.2048520720 3.5080356733 0.0000000000
3.7988634568 74.7198972187 4.5625712399 -10.2021916193 3.5188445779 0.0000000000
3.8015841111 74.7194909790 4.5649514881 -10.1994053699 3.5294777092 0.0000000000
3.8043340359 74.7190743667 4.5672704404 -10.1964879497 3.5399180649 0.0000000000
3.8071141013 74.7186475006 4.5695240110 -10.1934398053 3.5501491239 0.0000000000
3.8099254088 74.7182120813 4.5717087754 -10.1902666978 3.5601548935 0.0000000000
3.8127685097 74.7177694696 4.5738219054 -10.1869744791 3.5699217285 0.0000000000
3.8156418388 74.7173195243 4.5758627427 -10.1835686190 3.5794448064 0.0000000000
3.8185433297 74.7168617482 4.5778311428 -10.1800544972 3.5887213948 0.0000000000
3.8214709897 74.7163957552 4.5797272397 -10.1764378930 3.5977497155 0.0000000000
3.8244232998 74.7159218732 4.5815529534 -10.1727271496 3.6065341133 0.0000000000
