# logAge Mass logTe Mbol logg C/O
-0.5054055187 0.9500000000 3.6616500000 -2.2554750000 1.1981336053 0.0000000000
-0.4619484737 0.9500000000 3.6616540932 -2.2553595778 1.1981961470 0.0000000000
-0.4184914340 0.9500000000 3.6616588606 -2.2552315769 1.1982664168 0.0000000000
-0.3750344017 0.9500000000 3.6616637546 -2.2550889690 1.1983430361 0.0000000000
-0.3315773786 0.9500000000 3.6616682278 -2.2549297262 1.1984246259 0.0000000000
-0.2881203668 0.9500000000 3.6616718179 -2.2547517852 1.1985101628 0.0000000000
-0.2446633699 0.9500000000 3.6616757140 -2.2545524048 1.1986054995 0.0000000000
-0.2012063930 0.9500000000 3.6616825625 -2.2543282556 1.1987225532 0.0000000000
-0.1577494393 0.9500000000 3.6616923319 -2.2540778948 1.1988617748 0.0000000000
-0.1142925088 0.9500000000 3.6617004529 -2.2538030495 1.1990041970 0.0000000000
-0.0708356030 0.9500000000 3.6617043061 -2.2535043363 1.1991390953 0.0000000000
-0.0273787291 0.9500000000 3.6617088350 -2.2531778902 1.1992877891 0.0000000000
0.0160781031 0.9500000000 3.6617193713 -2.2528184220 1.1994737218 0.0000000000
0.0595348753 0.9500000000 3.6617341552 -2.2524172317 1.1996933334 0.0000000000
0.1029915665 0.9500000000 3.6617488543 -2.2519648399 1.1999330864 0.0000000000
0.1464481662 0.9500000000 3.6617621462 -2.2514596547 1.2001883283 0.0000000000
0.1899046715 0.9500000000 3.6617749325 -2.2509057937 1.2004610176 0.0000000000
0.2333610711 0.9500000000 3.6617880756 -2.2503027316 1.2007548152 0.0000000000
0.2768173413 0.9500000000 3.6618023165 -2.2496434934 1.2010754740 0.0000000000
0.3202734465 0.9500000000 3.6618185897 -2.2489186593 1.2014305004 0.0000000000
0.3637293215 0.9500000000 3.6618383421 -2.2481137739 1.2018314642 0.0000000000
0.4071849021 0.9500000000 3.6618627101 -2.2472157152 1.2022881595 0.0000000000
0.4506401517 0.9500000000 3.6618908744 -2.2462219667 1.2027983162 0.0000000000
0.4940950342 0.9500000000 3.6619214170 -2.2451316853 1.2033565993 0.0000000000
0.5375494277 0.9500000000 3.6619530466 -2.2439268034 1.2039650704 0.0000000000
0.5810031577 0.9500000000 3.6619845827 -2.2425790641 1.2046303105 0.0000000000
0.6244560089 0.9500000000 3.6620158023 -2.2410630666 1.2053615880 0.0000000000
0.6679077223 0.9500000000 3.6620475357 -2.2393567575 1.2061710452 0.0000000000
0.7113580887 0.9500000000 3.6620813450 -2.2374474816 1.2070699926 0.0000000000
0.7548070034 0.9500000000 3.6621201674 -2.2353412953 1.2080677569 0.0000000000
0.7982543311 0.9500000000 3.6621661647 -2.2330409441 1.2091718864 0.0000000000
0.8416997630 0.9500000000 3.6622177750 -2.2305271398 1.2103838495 0.0000000000
0.8851429091 0.9500000000 3.6622728169 -2.2277736418 1.2117054161 0.0000000000
0.9285830691 0.9500000000 3.6623315276 -2.2247420530 1.2131528946 0.0000000000
0.9720194061 0.9500000000 3.6623953339 -2.2213892886 1.2147492254 0.0000000000
1.0154513346 0.9500000000 3.6624660761 -2.2176946920 1.2165100331 0.0000000000
1.0588784850 0.9500000000 3.6625459230 -2.2136572638 1.2184443919 0.0000000000
1.1022997900 0.9500000000 3.6626345273 -2.2092444951 1.2205639163 0.0000000000
1.1457130216 0.9500000000 3.6627273819 -2.2043708738 1.2228847833 0.0000000000
1.1891164540 0.9500000000 3.6628231077 -2.1989789658 1.2254244498 0.0000000000
1.2325102902 0.9500000000 3.6629314346 -2.1931156753 1.2282030736 0.0000000000
1.2758945910 0.9500000000 3.6630620186 -2.1868265301 1.2312410678 0.0000000000
1.3192660792 0.9500000000 3.6632100570 -2.1800168894 1.2345570775 0.0000000000
1.3626201860 0.9500000000 3.6633655752 -2.1725411969 1.2381694275 0.0000000000
1.4059526580 0.9500000000 3.6635259881 -2.1643143659 1.2421018112 0.0000000000
1.4492595411 0.9500000000 3.6636943804 -2.1552978904 1.2463819708 0.0000000000
1.4925396934 0.9500000000 3.6638804839 -2.1455149710 1.2510395526 0.0000000000
1.5357958554 0.9500000000 3.6641030423 -2.1350726820 1.2561067018 0.0000000000
1.5790254562 0.9500000000 3.6643682237 -2.1239651648 1.2616104341 0.0000000000
1.6222109382 0.9500000000 3.6646467489 -2.1118676517 1.2675635401 0.0000000000
1.6653405342 0.9500000000 3.6649232983 -2.0985780678 1.2739855714 0.0000000000
1.7084269740 0.9500000000 3.6652413738 -2.0844149348 1.2809231266 0.0000000000
1.7514656053 0.9500000000 3.6656107185 -2.0693973319 1.2884075464 0.0000000000
1.7944204610 0.9500000000 3.6659757556 -2.0529693945 1.2964388697 0.0000000000
1.8373101181 0.9500000000 3.6663785620 -2.0354774197 1.3050468855 0.0000000000
1.8801245428 0.9500000000 3.6668333373 -2.0169012322 1.3142964616 0.0000000000
1.9227749900 0.9500000000 3.6672425922 -1.9960869613 1.3242591897 0.0000000000
1.9652675441 0.9500000000 3.6676340710 -1.9733463580 1.3349213462 0.0000000000
2.0076742632 0.9500000000 3.6680944129 -1.9496245928 1.3462514197 0.0000000000
2.0499195583 0.9500000000 3.6685312055 -1.9241810936 1.3581759897 0.0000000000
2.0921008017 0.9500000000 3.6690804329 -1.8980788261 1.3708138065 0.0000000000
2.1340952410 0.9500000000 3.6695979241 -1.8701626459 1.3840502435 0.0000000000
2.1760509538 0.9500000000 3.6702605399 -1.8419082176 1.3980024780 0.0000000000
2.2178085502 0.9500000000 3.6709030250 -1.8118611533 1.4125912441 0.0000000000
2.2594822956 0.9500000000 3.6716492317 -1.7811140140 1.4278749265 0.0000000000
2.3008188664 0.9500000000 3.6723107695 -1.7476392864 1.4439109688 0.0000000000
2.3418339141 0.9500000000 3.6729072870 -1.7117677991 1.4606456335 0.0000000000
2.3827276014 0.9500000000 3.6735617042 -1.6750427623 1.4779533171 0.0000000000
2.4234711295 0.9500000000 3.6742648051 -1.6372946408 1.4958649694 0.0000000000
2.4640881426 0.9500000000 3.6750226561 -1.5987115256 1.5143296194 0.0000000000
2.5046226877 0.9500000000 3.6758609248 -1.5595985007 1.5333279043 0.0000000000
2.5450045839 0.9500000000 3.6767415256 -1.5195117191 1.5528850200 0.0000000000
2.5849092001 0.9500000000 3.6774668037 -1.4765482656 1.5729715138 0.0000000000
2.6245945848 0.9500000000 3.6782031038 -1.4323181207 1.5936087723 0.0000000000
2.6641859305 0.9500000000 3.6789881243 -1.3875692561 1.6146483998 0.0000000000
2.7036944371 0.9500000000 3.6798353419 -1.3423712166 1.6361164862 0.0000000000
2.7430867951 0.9500000000 3.6807153561 -1.2965478893 1.6579658740 0.0000000000
2.7824330632 0.9500000000 3.6816722380 -1.2504857685 1.6802182501 0.0000000000
2.8213350590 0.9500000000 3.6824952722 -1.2021205824 1.7028564612 0.0000000000
2.8599751907 0.9500000000 3.6832621247 -1.1524433029 1.7257947828 0.0000000000
2.8985858833 0.9500000000 3.6840884941 -1.1026310226 1.7490251728 0.0000000000
2.9371750631 0.9500000000 3.6849789918 -1.0527197438 1.7725516750 0.0000000000
2.9757273187 0.9500000000 3.6859273944 -1.0026361485 1.7963787235 0.0000000000
3.0142128339 0.9500000000 3.6869158683 -0.9522392904 1.8204913625 0.0000000000
3.0521589349 0.9500000000 3.6876803476 -0.8993231468 1.8447157370 0.0000000000
3.0900843379 0.9500000000 3.6885018570 -0.8463191200 1.8692033852 0.0000000000
3.1279733379 0.9500000000 3.6893475237 -0.7931557740 1.8938513903 0.0000000000
3.1659002979 0.9500000000 3.6902605269 -0.7401685817 1.9186982803 0.0000000000
3.2037884469 0.9500000000 3.6911992108 -0.6870112624 1.9437159435 0.0000000000
3.2415621926 0.9500000000 3.6921345540 -0.6333502014 1.9689217406 0.0000000000
3.2789295557 0.9500000000 3.6929033244 -0.5779181437 1.9941696455 0.0000000000
3.3163169111 0.9500000000 3.6937151883 -0.5225779034 2.0195531972 0.0000000000
3.3537377542 0.9500000000 3.6945751876 -0.4673841191 2.0450707079 0.0000000000
3.3911412398 0.9500000000 3.6954459090 -0.4121168016 2.0706605208 0.0000000000
3.4285724428 0.9500000000 3.6963737681 -0.3569724396 2.0964297019 0.0000000000
3.4658552547 0.9500000000 3.6972502358 -0.3012061120 2.1222421035 0.0000000000
3.5028479346 0.9500000000 3.6980091738 -0.2442258974 2.1480699414 0.0000000000
3.5398975215 0.9500000000 3.6988049136 -0.1874804858 2.1739510653 0.0000000000
3.5769669405 0.9500000000 3.6996373290 -0.1308196181 2.1999450740 0.0000000000
3.6140786662 0.9500000000 3.7005002350 -0.0743347120 2.2259906604 0.0000000000
3.6511530968 0.9500000000 3.7013712756 -0.0176975966 2.2521296690 0.0000000000
3.6881573107 0.9500000000 3.7022226744 0.0392250087 2.2783043065 0.0000000000
3.7249156621 0.9500000000 3.7029515925 0.0971475330 2.3043889884 0.0000000000
3.7617149409 0.9500000000 3.7037134039 0.1549043012 2.3305389414 0.0000000000
3.7985334225 0.9500000000 3.7044938269 0.2125831406 2.3567321691 0.0000000000
3.8353900904 0.9500000000 3.7053100481 0.2701051823 2.3830058707 0.0000000000
3.8722926558 0.9500000000 3.7061589873 0.3274414039 2.4093361160 0.0000000000
3.9091431395 0.9500000000 3.7069841727 0.3849886668 2.4356557629 0.0000000000
3.9457492581 0.9500000000 3.7076927891 0.4435126520 2.4618998225 0.0000000000
3.9823384547 0.9500000000 3.7083808871 0.5021037481 2.4880886528 0.0000000000
4.0190016744 0.9500000000 3.7091210215 0.5604012863 2.5143682058 0.0000000000
4.0556696831 0.9500000000 3.7098593307 0.6186801540 2.5406329897 0.0000000000
4.0923883993 0.9500000000 3.7106291902 0.6767560632 2.5669427914 0.0000000000
4.1290850370 0.9500000000 3.7113821559 0.7349210864 2.5932206636 0.0000000000
4.1657893729 0.9500000000 3.7121371121 0.7930545557 2.6194938758 0.0000000000
4.2022953996 0.9500000000 3.7127627333 0.8519740733 2.6455641677 0.0000000000
4.2389132032 0.9500000000 3.7134304575 0.9104549913 2.6716274318 0.0000000000
4.2756084603 0.9500000000 3.7140861092 0.9686323426 2.6975209790 0.0000000000
4.3124224795 0.9500000000 3.7147504489 1.0263379921 2.7232605978 0.0000000000
4.3494230250 0.9500000000 3.7154132695 1.0832936038 2.7486941249 0.0000000000
4.3867164844 0.9500000000 3.7160601041 1.1390406146 2.7735802674 0.0000000000
4.4244435252 0.9500000000 3.7167133716 1.1929331885 2.7977503670 0.0000000000
4.4626465382 0.9500000000 3.7172579725 1.2446951043 2.8206335371 0.0000000000
4.5016422071 0.9500000000 3.7177261207 1.2926092127 2.8416717731 0.0000000000
4.5416635434 0.9500000000 3.7181452550 1.3349013237 2.8602651547 0.0000000000
4.5827513247 0.9500000000 3.7184991009 1.3702310326 2.8758124221 0.0000000000
4.6247387367 0.9500000000 3.7187732264 1.3981894275 2.8880922817 0.0000000000
4.6673393134 0.9500000000 3.7189978424 1.4196317719 2.8975676838 0.0000000000
4.7102570252 0.9500000000 3.7191641096 1.4366863951 2.9050546017 0.0000000000
4.7533224729 0.9500000000 3.7193104032 1.4512392444 2.9114609159 0.0000000000
4.7964303064 0.9500000000 3.7194487068 1.4649811497 2.9175108922 0.0000000000
4.8395107381 0.9500000000 3.7195932112 1.4792534764 2.9237978406 0.0000000000
4.8825007486 0.9500000000 3.7197504385 1.4951463504 2.9307838996 0.0000000000
4.9253127234 0.9500000000 3.7199292374 1.5138139752 2.9389661451 0.0000000000
4.9678246427 0.9500000000 3.7201585047 1.5363798463 2.9489095628 0.0000000000
5.0098000047 0.9500000000 3.7204466634 1.5644936308 2.9613077111 0.0000000000
5.0507896449 0.9500000000 3.7208030638 1.6005386161 2.9771513068 0.0000000000
5.0899744807 0.9500000000 3.7212584899 1.6473931571 2.9977148276 0.0000000000
5.1260553423 0.9500000000 3.7218696265 1.7077606715 3.0243063800 0.0000000000
5.1575121081 0.9500000000 3.7224995474 1.7825521936 3.0567426723 0.0000000000
5.1847832843 0.9500000000 3.7231936467 1.8670697338 3.0933260858 0.0000000000
5.2101573650 0.9500000000 3.7239210685 1.9552496851 3.1315077532 0.0000000000
5.2358977576 0.9500000000 3.7246073164 2.0427631762 3.1692581415 0.0000000000
5.2626276944 0.9500000000 3.7252824878 2.1284028589 3.2062147002 0.0000000000
5.2902611270 0.9500000000 3.7259097263 2.2122332921 3.2422558274 0.0000000000
5.3187148325 0.9500000000 3.7265021269 2.2943342264 3.2774658033 0.0000000000
5.3479084872 0.9500000000 3.7270657912 2.3747963779 3.3119053214 0.0000000000
5.3776297139 0.9500000000 3.7275233842 2.4540466884 3.3454358174 0.0000000000
5.4079907528 0.9500000000 3.7279696490 2.5317673815 3.3783091537 0.0000000000
5.4388639928 0.9500000000 3.7283688238 2.6082179657 3.4104860868 0.0000000000
5.4702437308 0.9500000000 3.7287461823 2.6833702473 3.4420564335 0.0000000000
5.5020377229 0.9500000000 3.7290927674 2.7574270702 3.4730655030 0.0000000000
5.5342271449 0.9500000000 3.7294166678 2.8304097516 3.5035541770 0.0000000000
5.5667511730 0.9500000000 3.7297143225 2.9024598394 3.5335648312 0.0000000000
5.5995887549 0.9500000000 3.7299726325 2.9736168561 3.5630608775 0.0000000000
5.6326931515 0.9500000000 3.7302124229 3.0439971979 3.5921721760 0.0000000000
5.6660553032 0.9500000000 3.7304200388 3.1136137424 3.6208492573 0.0000000000
5.6996512874 0.9500000000 3.7306055709 3.1825238237 3.6491554185 0.0000000000
5.7334680645 0.9500000000 3.7307694975 3.2507565185 3.6771042026 0.0000000000
5.7674982821 0.9500000000 3.7309019422 3.3183227195 3.7046604619 0.0000000000
5.8017564731 0.9500000000 3.7310334836 3.3851653587 3.7319236832 0.0000000000
5.8361992620 0.9500000000 3.7311253804 3.4514124924 3.7587901240 0.0000000000
5.8708740950 0.9500000000 3.7312278176 3.5168988738 3.7853944253 0.0000000000
5.9057392894 0.9500000000 3.7312982373 3.5817506160 3.8116168009 0.0000000000
5.9408586585 0.9500000000 3.7313881332 3.6457393682 3.8375718853 0.0000000000
5.9761615648 0.9500000000 3.7314668176 3.7090936218 3.8632283245 0.0000000000
6.0117514888 0.9500000000 3.7315636455 3.7714358041 3.8885525090 0.0000000000
6.0475628485 0.9500000000 3.7316653336 3.8329805851 3.9135771736 0.0000000000
6.0836796724 0.9500000000 3.7317946207 3.8933983619 3.9382614327 0.0000000000
6.1200889018 0.9500000000 3.7319661795 3.9527091228 3.9626719725 0.0000000000
6.1567973786 0.9500000000 3.7321645929 4.0108540432 3.9867235942 0.0000000000
6.1938858109 0.9500000000 3.7324367187 4.0674698631 4.0104584253 0.0000000000
6.2313514383 0.9500000000 3.7327608460 4.1225090395 4.0337706051 0.0000000000
6.2693043916 0.9500000000 3.7332127085 4.1754128042 4.0567395611 0.0000000000
6.3077702090 0.9500000000 3.7337801027 4.2259410697 4.0792204440 0.0000000000
6.3468113907 0.9500000000 3.7345149523 4.2736129331 4.1012285878 0.0000000000
6.3865412420 0.9500000000 3.7354785648 4.3175543892 4.1226596204 0.0000000000
6.4269927488 0.9500000000 3.7367181219 4.3571123724 4.1434410418 0.0000000000
6.4681633139 0.9500000000 3.7382337488 4.3916449249 4.1633165703 0.0000000000
6.5101906324 0.9500000000 3.7402038182 4.4187584869 4.1820422730 0.0000000000
6.5529883414 0.9500000000 3.7427339003 4.4363324059 4.1991921690 0.0000000000
6.5962415869 0.9500000000 3.7459173117 4.4419411810 4.2141693243 0.0000000000
6.6393277108 0.9500000000 3.7498524909 4.4326348166 4.2261874957 0.0000000000
6.6811603767 0.9500000000 3.7546092316 4.4060891133 4.2345961772 0.0000000000
6.7206409837 0.9500000000 3.7600845587 4.3630125415 4.2392668568 0.0000000000
6.7573730218 0.9500000000 3.7661236195 4.3070533308 4.2410394156 0.0000000000
6.7918017912 0.9500000000 3.7726528253 4.2428280325 4.2414661195 0.0000000000
6.8253276334 0.9500000000 3.7796921506 4.1759811948 4.2428846855 0.0000000000
6.8596220833 0.9500000000 3.7874603823 4.1121668584 4.2484318780 0.0000000000
6.8955448235 0.9500000000 3.7962035025 4.0551335142 4.2605910208 0.0000000000
6.9333359679 0.9500000000 3.8062413040 4.0078523343 4.2818297549 0.0000000000
6.9728118762 0.9500000000 3.8176610634 3.9727535473 4.3134692776 0.0000000000
7.0137701399 0.9500000000 3.8302351495 3.9561861833 4.3571386766 0.0000000000
7.0539397869 0.9500000000 3.8410472387 3.9826475267 4.4109715709 0.0000000000
7.0866939460 0.9500000000 3.8463770528 4.0523003802 4.4601519685 0.0000000000
7.1147490040 0.9500000000 3.8483922196 4.1350539848 4.5013140776 0.0000000000
7.1413048722 0.9500000000 3.8483085062 4.2210442071 4.5353753129 0.0000000000
7.1696825583 0.9500000000 3.8470067991 4.3031893227 4.5630265310 0.0000000000
7.2038556427 0.9500000000 3.8453364173 4.3696012973 4.5829097934 0.0000000000
7.2449109583 0.9500000000 3.8442500000 4.4038250000 4.5922536053 0.0000000000
7.2952279387 0.9500000000 3.8438200000 4.4141500000 4.5946636053 0.0000000000
7.3062523548 0.9500000000 3.8437778842 4.4146479589 4.5946943258 0.0000000000
7.3172772415 0.9500000000 3.8437441045 4.4149290904 4.5946716593 0.0000000000
7.3283024535 0.9500000000 3.8437171971 4.4150282811 4.5946037062 0.0000000000
7.3393278455 0.9500000000 3.8436956986 4.4149804176 4.5944985669 0.0000000000
7.3503532720 0.9500000000 3.8436781455 4.4148203863 4.5943643417 0.0000000000
7.3613785876 0.9500000000 3.8436630740 4.4145830739 4.5942091310 0.0000000000
7.3724036646 0.9500000000 3.8436491267 4.4143011297 4.5940405640 0.0000000000
7.3834285111 0.9500000000 3.8436357706 4.4139897824 4.5938626005 0.0000000000
7.3944531994 0.9500000000 3.8436228595 4.4136560917 4.5936774798 0.0000000000
7.4054778022 0.9500000000 3.8436102495 4.4133070703 4.5934874313 0.0000000000
7.4165023805 0.9500000000 3.8435978458 4.4129488833 4.5932945418 0.0000000000
7.4275269466 0.9500000000 3.8435857622 4.4125840967 4.5931002927 0.0000000000
7.4385514999 0.9500000000 3.8435741678 4.4122143212 4.5929060048 0.0000000000
7.4495760399 0.9500000000 3.8435632316 4.4118411676 4.5927129988 0.0000000000
7.4606005660 0.9500000000 3.8435531110 4.4114661751 4.5925225192 0.0000000000
7.4716250806 0.9500000000 3.8435438353 4.4110901200 4.5923349946 0.0000000000
7.4826495872 0.9500000000 3.8435353568 4.4107133155 4.5921503588 0.0000000000
7.4936740895 0.9500000000 3.8435276265 4.4103360686 4.5919685386 0.0000000000
7.5046985914 0.9500000000 3.8435205953 4.4099586862 4.5917894612 0.0000000000
7.5157230960 0.9500000000 3.8435141998 4.4095814701 4.5916129925 0.0000000000
7.5267476050 0.9500000000 3.8435082993 4.4092046967 4.5914386813 0.0000000000
7.5377721191 0.9500000000 3.8435027283 4.4088286339 4.5912659722 0.0000000000
7.5487966393 0.9500000000 3.8434973212 4.4084535497 4.5910943101 0.0000000000
7.5598211663 0.9500000000 3.8434919124 4.4080797119 4.5909231398 0.0000000000
7.5708457011 0.9500000000 3.8434863519 4.4077073819 4.5907519656 0.0000000000
7.5818702445 0.9500000000 3.8434806800 4.4073367421 4.5905810221 0.0000000000
7.5928947974 0.9500000000 3.8434750649 4.4069679213 4.5904110334 0.0000000000
7.6039193606 0.9500000000 3.8434696771 4.4066010477 4.5902427328 0.0000000000
7.6149439350 0.9500000000 3.8434646871 4.4062362493 4.5900768536 0.0000000000
7.6259685215 0.9500000000 3.8434602655 4.4058736542 4.5899141290 0.0000000000
7.6369931203 0.9500000000 3.8434565519 4.4055132853 4.5897551270 0.0000000000
7.6480177289 0.9500000000 3.8434535360 4.4051546542 4.5895996110 0.0000000000
7.6590423436 0.9500000000 3.8434511618 4.4047971169 4.5894470994 0.0000000000
7.6700669610 0.9500000000 3.8434493735 4.4044400292 4.5892971110 0.0000000000
7.6810915774 0.9500000000 3.8434481150 4.4040827472 4.5891491643 0.0000000000
7.6921161894 0.9500000000 3.8434473305 4.4037246267 4.5890027780 0.0000000000
7.7031407934 0.9500000000 3.8434469639 4.4033650238 4.5888574705 0.0000000000
7.7141653858 0.9500000000 3.8434469594 4.4030032944 4.5887127606 0.0000000000
7.7251899632 0.9500000000 3.8434472609 4.4026387945 4.5885681667 0.0000000000
7.7362145219 0.9500000000 3.8434478126 4.4022708799 4.5884232076 0.0000000000
7.7472390585 0.9500000000 3.8434485584 4.4018989067 4.5882774017 0.0000000000
7.7582635694 0.9500000000 3.8434494425 4.4015222308 4.5881302676 0.0000000000
7.7692880511 0.9500000000 3.8434504112 4.4011402219 4.5879813390 0.0000000000
7.7803125027 0.9500000000 3.8434514948 4.4007527378 4.5878306798 0.0000000000
7.7913369264 0.9500000000 3.8434528277 4.4003602431 4.5876790132 0.0000000000
7.8023613246 0.9500000000 3.8434545507 4.3999632404 4.5875271041 0.0000000000
7.8133856996 0.9500000000 3.8434568047 4.3995622324 4.5873757172 0.0000000000
7.8244100539 0.9500000000 3.8434597308 4.3991577218 4.5872256172 0.0000000000
7.8354343895 0.9500000000 3.8434634106 4.3987501328 4.5870773010 0.0000000000
7.8464587065 0.9500000000 3.8434676247 4.3983394900 4.5869299000 0.0000000000
7.8574830045 0.9500000000 3.8434720575 4.3979256909 4.5867821116 0.0000000000
7.8685072829 0.9500000000 3.8434763936 4.3975086332 4.5866326331 0.0000000000
7.8795315413 0.9500000000 3.8434803178 4.3970882144 4.5864801622 0.0000000000
7.8905557791 0.9500000000 3.8434837529 4.3966643532 4.5863243583 0.0000000000
7.9015799955 0.9500000000 3.8434873570 4.3962370346 4.5861678473 0.0000000000
7.9126041895 0.9500000000 3.8434919295 4.3958062559 4.5860138258 0.0000000000
7.9236283603 0.9500000000 3.8434982697 4.3953720145 4.5858654901 0.0000000000
7.9346525070 0.9500000000 3.8435070171 4.3949342999 4.5857253936 0.0000000000
7.9456766299 0.9500000000 3.8435175402 4.3944930380 4.5855909812 0.0000000000
7.9567007295 0.9500000000 3.8435286015 4.3940481244 4.5854572608 0.0000000000
7.9677248066 0.9500000000 3.8435389596 4.3935994545 4.5853192255 0.0000000000
7.9787488581 0.9500000000 3.8435476761 4.3931464715 4.5851728985 0.0000000000
7.9897728607 0.9500000000 3.8435555000 4.3926860969 4.5850200441 0.0000000000
8.0007967841 0.9500000000 3.8435637643 4.3922143796 4.5848644144 0.0000000000
8.0118205987 0.9500000000 3.8435737836 4.3917274706 4.5847097281 0.0000000000
8.0228443154 0.9500000000 3.8435858556 4.3912270023 4.5845578287 0.0000000000
8.0338680048 0.9500000000 3.8435987718 4.3907227255 4.5844077828 0.0000000000
8.0448917424 0.9500000000 3.8436112024 4.3902250432 4.5842584322 0.0000000000
8.0559155660 0.9500000000 3.8436222381 4.3897391731 4.5841082268 0.0000000000
8.0669394022 0.9500000000 3.8436322133 4.3892549973 4.5839544575 0.0000000000
8.0779631573 0.9500000000 3.8436416924 4.3887595938 4.5837942123 0.0000000000
8.0889867728 0.9500000000 3.8436514517 4.3882450458 4.5836274305 0.0000000000
8.1000102734 0.9500000000 3.8436627696 4.3877152600 4.5834607879 0.0000000000
8.1110336951 0.9500000000 3.8436769263 4.3871757295 4.5833016024 0.0000000000
8.1220570525 0.9500000000 3.8436932334 4.3866285744 4.5831479684 0.0000000000
8.1330803358 0.9500000000 3.8437088191 4.3860721741 4.5829877513 0.0000000000
8.1441035356 0.9500000000 3.8437215350 4.3855050198 4.5828117533 0.0000000000
