# mass             age              teff             Lbol             radius           logg             MIRI-F1065C      MIRI-F1140C      MIRI-F1550C      MIRI-F2300C     
  0.00100000       4.37547938E-02   369.04705714     -6.59279962      0.12384143       3.25268274       13.37945896      12.61372275      12.23315956      11.83335949     
  0.00100000       5.54102033E-02   351.38956346     -6.69166967      0.12190148       3.26639663       13.67132983      12.87147241      12.43109817      11.97810620     
  0.00100000       7.01703829E-02   338.06217823     -6.77255577      0.11999113       3.28011613       13.89874299      13.06724538      12.58103901      12.08735415     
  0.00100000       8.88623816E-02   324.07038190     -6.86002714      0.11806652       3.29416106       14.17181511      13.31031793      12.75429110      12.21820174     
  0.00100000       1.12533558E-01   309.42394319     -6.95448344      0.11616531       3.30826162       14.49779698      13.59406808      12.95731605      12.36064950     
  0.00100000       1.42510267E-01   295.12536590     -7.05056180      0.11432382       3.32214153       14.80765507      13.86477145      13.14791770      12.49737058     
  0.00100000       1.80472177E-01   281.63817729     -7.14549695      0.11253677       3.33582577       15.14302371      14.15783277      13.34678465      12.63974927     
  0.00100000       2.28546386E-01   267.22079415     -7.25026428      0.11080247       3.34931538       15.56012197      14.52322793      13.58133341      12.80197570     
  0.00100000       2.89426612E-01   252.19008970     -7.36387453      0.10915377       3.36233692       16.11638772      14.99842819      13.82679097      12.98043586     
  0.00100000       3.66524124E-01   241.54334778     -7.45159319      0.10755800       3.37512903       16.61024202      15.40961646      13.99975364      13.12150952     
  0.00100000       4.64158883E-01   230.54403979     -7.54551782      0.10596379       3.38809953       17.16106394      15.86276853      14.17370988      13.27009711     
  0.00100000       5.87801607E-01   218.50963891     -7.65146507      0.10441299       3.40090535       17.77983080      16.36756510      14.35787416      13.43114263     
  0.00100000       7.44380301E-01   205.57878638     -7.76977792      0.10294057       3.41324131       18.44803615      16.90871454      14.55039203      13.60130959     
  0.00200000       1.00000000E-03   1222.89413177    -4.19572320      0.17815133       3.23786838       9.39101476       9.24298560       9.40653296       9.38498409      
  0.00200000       1.26638017E-03   1165.85170523    -4.30874350      0.17209348       3.26791616       9.57802700       9.40358872       9.55592140       9.53113898      
  0.00200000       1.60371874E-03   1107.51280853    -4.42601728      0.16661924       3.29599535       9.76688557       9.56695920       9.70432222       9.67423269      
  0.00200000       2.03091762E-03   1053.89844129    -4.53857024      0.16163999       3.32234876       9.94733340       9.72169275       9.84055110       9.80639332      
  0.00200000       2.57191381E-03   998.64168417     -4.65696758      0.15708389       3.34718266       10.13819108      9.88316864       9.97477699       9.93852982      
  0.00200000       3.25702066E-03   944.66631617     -4.77659741      0.15296067       3.37028630       10.31615580      10.03355964      10.09963248      10.05878341     
  0.00200000       4.12462638E-03   892.36529053     -4.89693742      0.14924011       3.39167511       10.49453153      10.18317714      10.22223691      10.17702770     
  0.00200000       5.22334507E-03   848.30672220     -5.00522687      0.14578274       3.41203212       10.65468311      10.31625486      10.33391651      10.28567858     
  0.00200000       6.61474064E-03   801.96734861     -5.12214475      0.14257706       3.43134651       10.82426289      10.45560112      10.45302528      10.39936518     
  0.00200000       8.37677640E-03   754.80790687     -5.24558016      0.13962572       3.44951444       11.00167344      10.60064895      10.58171536      10.51774733     
  0.00200000       1.06081836E-02   708.12414233     -5.37328123      0.13695136       3.46631194       11.19154603      10.75375696      10.71910189      10.64141567     
  0.00200000       1.34339933E-02   661.15969363     -5.50784677      0.13455522       3.48164396       11.40422785      10.91875395      10.86496170      10.77140010     
  0.00200000       1.70125428E-02   615.37456488     -5.64637876      0.13242544       3.49550199       11.62413479      11.09210852      11.01577673      10.90267023     
  0.00200000       2.15443469E-02   578.68756341     -5.76590652      0.13049266       3.50827251       11.81232046      11.25039081      11.15031719      11.01731436     
  0.00200000       2.72833338E-02   545.71305828     -5.88014016      0.12865898       3.52056465       12.00172224      11.41101680      11.28208227      11.12959577     
  0.00200000       3.45510729E-02   512.40641509     -6.00122833      0.12693711       3.53226744       12.22147924      11.59213354      11.42720385      11.25006608     
  0.00200000       4.37547938E-02   481.21757244     -6.12132575      0.12533942       3.54326915       12.45570236      11.77786506      11.57972768      11.37390353     
  0.00200000       5.54102033E-02   452.36949235     -6.23915203      0.12384318       3.55370034       12.69280465      11.98295450      11.73853916      11.50057686     
  0.00200000       7.01703829E-02   427.66094085     -6.34687921      0.12240349       3.56385679       12.90778155      12.17962377      11.88907140      11.61832374     
  0.00200000       8.88623816E-02   402.21090828     -6.46324329      0.12103131       3.57364895       13.18846394      12.42396805      12.06916229      11.75683269     
  0.00200000       1.12533558E-01   383.34369235     -6.55637669      0.11969131       3.58331903       13.41148637      12.62077135      12.21247559      11.86615212     
  0.00200000       1.42510267E-01   363.91859311     -6.65637013      0.11836545       3.59299441       13.69885873      12.86796032      12.39429874      11.99630682     
  0.00200000       1.80472177E-01   346.26560429     -6.75226631      0.11707975       3.60248077       14.00548599      13.13189796      12.58702003      12.12704344     
  0.00200000       2.28546386E-01   332.90766540     -6.83032680      0.11577672       3.61220187       14.27423883      13.36530296      12.75887723      12.24578048     
  0.00200000       2.89426612E-01   318.20359238     -6.91886436      0.11444278       3.62226758       14.58613076      13.63883853      12.94962974      12.37546786     
  0.00200000       3.66524124E-01   302.43897811     -7.01729604      0.11311134       3.63243192       14.93741661      13.94422681      13.15007945      12.51091287     
  0.00200000       4.64158883E-01   288.07936591     -7.11177616      0.11181951       3.64240952       15.27170746      14.23288960      13.33873675      12.64330396     
  0.00200000       5.87801607E-01   273.26982558     -7.21340016      0.11054579       3.65235996       15.67543130      14.58445081      13.55547175      12.79175100     
  0.00200000       7.44380301E-01   257.56009946     -7.32599540      0.10931213       3.66210773       16.20022202      15.03794175      13.80086624      12.96122507     
  0.00200000       9.42668455E-01   244.71002658     -7.42435051      0.10813070       3.67154646       16.74627607      15.49646249      13.99319435      13.10981616     
  0.00200000       1.19377664E+00   233.84816866     -7.51288592      0.10693374       3.68121492       17.29912206      15.95183181      14.15206071      13.24391359     
  0.00200000       1.51177507E+00   221.76933848     -7.61477636      0.10573929       3.69097152       17.94063750      16.47640181      14.32483398      13.39369758     
  0.00200000       1.91448198E+00   208.72421315     -7.72958630      0.10458866       3.70047506       18.66184852      17.06110453      14.50523435      13.55704140     
  0.00300000       1.00000000E-03   1492.05269067    -3.80730137      0.18716201       3.37110135       8.86392066       8.81383044       8.98663653       8.97654357      
  0.00300000       1.26638017E-03   1424.22180184    -3.92343734      0.17970434       3.40642051       9.05458933       8.98128167       9.15457458       9.14370985      
  0.00300000       1.60371874E-03   1352.78023303    -4.04543885      0.17308199       3.43903364       9.25252332       9.15170037       9.32111154       9.30826072      
