# logAge Mass logTe Mbol logg C/O
4.1860800861 0.4850000000 4.4052800000 1.7099000000 5.4668217386 0.0000000000
4.1943010684 0.4850000000 4.4052814283 1.7099023305 5.4668283839 0.0000000000
4.2025220508 0.4850000000 4.4052828016 1.7099044599 5.4668347291 0.0000000000
4.2107430332 0.4850000000 4.4052841209 1.7099063931 5.4668407793 0.0000000000
4.2189640156 0.4850000000 4.4052853868 1.7099081351 5.4668465397 0.0000000000
4.2271849981 0.4850000000 4.4052866001 1.7099096909 5.4668520153 0.0000000000
4.2354059806 0.4850000000 4.4052877616 1.7099110655 5.4668572112 0.0000000000
4.2436269631 0.4850000000 4.4052888722 1.7099122637 5.4668621328 0.0000000000
4.2518479456 0.4850000000 4.4052899325 1.7099132907 5.4668667850 0.0000000000
4.2600689281 0.4850000000 4.4052909434 1.7099141514 5.4668711729 0.0000000000
4.2682899107 0.4850000000 4.4052919057 1.7099148508 5.4668753019 0.0000000000
4.2765108933 0.4850000000 4.4052928202 1.7099153938 5.4668791768 0.0000000000
4.2847318759 0.4850000000 4.4052936876 1.7099157854 5.4668828030 0.0000000000
4.2929528585 0.4850000000 4.4052945087 1.7099160306 5.4668861856 0.0000000000
4.3011738411 0.4850000000 4.4052952843 1.7099161344 5.4668893296 0.0000000000
4.3093948238 0.4850000000 4.4052960152 1.7099161018 5.4668922402 0.0000000000
4.3176158065 0.4850000000 4.4052967022 1.7099159376 5.4668949225 0.0000000000
4.3258367892 0.4850000000 4.4052973461 1.7099156470 5.4668973817 0.0000000000
4.3340577719 0.4850000000 4.4052979476 1.7099152349 5.4668996229 0.0000000000
4.3422787546 0.4850000000 4.4052985075 1.7099147063 5.4669016513 0.0000000000
4.3504997374 0.4850000000 4.4052990267 1.7099140661 5.4669034719 0.0000000000
4.3587207201 0.4850000000 4.4052995059 1.7099133193 5.4669050900 0.0000000000
4.3669417029 0.4850000000 4.4052999459 1.7099124709 5.4669065106 0.0000000000
4.3751626857 0.4850000000 4.4053003475 1.7099115259 5.4669077389 0.0000000000
4.3833836685 0.4850000000 4.4053007114 1.7099104893 5.4669087799 0.0000000000
4.3916046514 0.4850000000 4.4053010385 1.7099093660 5.4669096390 0.0000000000
4.3998256342 0.4850000000 4.4053013295 1.7099081610 5.4669103211 0.0000000000
4.4080466170 0.4850000000 4.4053015853 1.7099068792 5.4669108314 0.0000000000
4.4162675999 0.4850000000 4.4053018065 1.7099055258 5.4669111751 0.0000000000
4.4244885828 0.4850000000 4.4053019941 1.7099041056 5.4669113572 0.0000000000
4.4327095657 0.4850000000 4.4053021487 1.7099026236 5.4669113830 0.0000000000
4.4409305486 0.4850000000 4.4053022712 1.7099010848 5.4669112575 0.0000000000
4.4491515315 0.4850000000 4.4053023624 1.7098994941 5.4669109859 0.0000000000
4.4573725144 0.4850000000 4.4053024230 1.7098978567 5.4669105733 0.0000000000
4.4655934973 0.4850000000 4.4053024538 1.7098961773 5.4669100249 0.0000000000
4.4738144803 0.4850000000 4.4053024557 1.7098944611 5.4669093458 0.0000000000
4.4820354632 0.4850000000 4.4053024293 1.7098927129 5.4669085410 0.0000000000
4.4902564462 0.4850000000 4.4053023755 1.7098909378 5.4669076159 0.0000000000
4.4984774291 0.4850000000 4.4053022951 1.7098891408 5.4669065754 0.0000000000
4.5066984121 0.4850000000 4.4053021889 1.7098873268 5.4669054248 0.0000000000
4.5149193951 0.4850000000 4.4053020575 1.7098855007 5.4669041691 0.0000000000
4.5231403781 0.4850000000 4.4053019020 1.7098836677 5.4669028135 0.0000000000
4.5313613610 0.4850000000 4.4053017229 1.7098818325 5.4669013631 0.0000000000
4.5395823440 0.4850000000 4.4053015211 1.7098800004 5.4668998231 0.0000000000
4.5478033270 0.4850000000 4.4053012974 1.7098781761 5.4668981986 0.0000000000
4.5560243100 0.4850000000 4.4053010525 1.7098763647 5.4668964947 0.0000000000
4.5642452930 0.4850000000 4.4053007874 1.7098745711 5.4668947165 0.0000000000
4.5724662760 0.4850000000 4.4053005026 1.7098728004 5.4668928693 0.0000000000
4.5806872591 0.4850000000 4.4053001991 1.7098710576 5.4668909581 0.0000000000
4.5889082421 0.4850000000 4.4052998776 1.7098693475 5.4668889881 0.0000000000
4.5971292251 0.4850000000 4.4052995389 1.7098676751 5.4668869643 0.0000000000
4.6053502081 0.4850000000 4.4052991838 1.7098660456 5.4668848920 0.0000000000
4.6135711911 0.4850000000 4.4052988130 1.7098644637 5.4668827763 0.0000000000
4.6217921741 0.4850000000 4.4052984275 1.7098629346 5.4668806223 0.0000000000
4.6300131571 0.4850000000 4.4052980278 1.7098614631 5.4668784350 0.0000000000
4.6382341401 0.4850000000 4.4052976149 1.7098600543 5.4668762198 0.0000000000
4.6464551232 0.4850000000 4.4052971895 1.7098587132 5.4668739817 0.0000000000
4.6546761062 0.4850000000 4.4052967523 1.7098574446 5.4668717258 0.0000000000
4.6628970892 0.4850000000 4.4052963043 1.7098562536 5.4668694573 0.0000000000
4.6711180722 0.4850000000 4.4052958461 1.7098551452 5.4668671813 0.0000000000
4.6793390552 0.4850000000 4.4052953786 1.7098541244 5.4668649029 0.0000000000
4.6875600382 0.4850000000 4.4052949026 1.7098531961 5.4668626273 0.0000000000
4.6957810212 0.4850000000 4.4052944187 1.7098523652 5.4668603596 0.0000000000
4.7040020042 0.4850000000 4.4052939279 1.7098516369 5.4668581049 0.0000000000
4.7122229871 0.4850000000 4.4052934309 1.7098510160 5.4668558685 0.0000000000
4.7204439701 0.4850000000 4.4052929284 1.7098505076 5.4668536553 0.0000000000
4.7286649531 0.4850000000 4.4052924213 1.7098501165 5.4668514706 0.0000000000
4.7368859360 0.4850000000 4.4052919104 1.7098498479 5.4668493194 0.0000000000
4.7451069190 0.4850000000 4.4052913964 1.7098497066 5.4668472070 0.0000000000
4.7533279019 0.4850000000 4.4052908802 1.7098496976 5.4668451384 0.0000000000
4.7615488849 0.4850000000 4.4052903625 1.7098498260 5.4668431188 0.0000000000
4.7697698678 0.4850000000 4.4052898440 1.7098500967 5.4668411534 0.0000000000
4.7779908507 0.4850000000 4.4052893257 1.7098505146 5.4668392471 0.0000000000
4.7862118336 0.4850000000 4.4052888082 1.7098510849 5.4668374053 0.0000000000
4.7944328165 0.4850000000 4.4052882924 1.7098518123 5.4668356329 0.0000000000
4.8026537994 0.4850000000 4.4052877790 1.7098527019 5.4668339353 0.0000000000
4.8108747823 0.4850000000 4.4052872688 1.7098537588 5.4668323174 0.0000000000
4.8190957652 0.4850000000 4.4052867627 1.7098549878 5.4668307844 0.0000000000
4.8273167480 0.4850000000 4.4052862613 1.7098563939 5.4668293415 0.0000000000
4.8355377308 0.4850000000 4.4052857656 1.7098579822 5.4668279937 0.0000000000
4.8437587137 0.4850000000 4.4052852762 1.7098597576 5.4668267463 0.0000000000
4.8519796965 0.4850000000 4.4052847939 1.7098617250 5.4668256044 0.0000000000
4.8602006793 0.4850000000 4.4052843196 1.7098638895 5.4668245730 0.0000000000
4.8684216620 0.4850000000 4.4052838541 1.7098662560 5.4668236574 0.0000000000
4.8766426448 0.4850000000 4.4052833980 1.7098688295 5.4668228626 0.0000000000
4.8848636276 0.4850000000 4.4052829523 1.7098716151 5.4668221938 0.0000000000
4.8930846103 0.4850000000 4.4052825176 1.7098746175 5.4668216561 0.0000000000
4.9013055930 0.4850000000 4.4052820948 1.7098778419 5.4668212547 0.0000000000
4.9095265757 0.4850000000 4.4052816847 1.7098812933 5.4668209947 0.0000000000
4.9177475584 0.4850000000 4.4052812880 1.7098849765 5.4668208812 0.0000000000
4.9259685410 0.4850000000 4.4052809055 1.7098888966 5.4668209194 0.0000000000
4.9341895237 0.4850000000 4.4052805381 1.7098930586 5.4668211144 0.0000000000
4.9424105063 0.4850000000 4.4052801864 1.7098974674 5.4668214713 0.0000000000
4.9506314889 0.4850000000 4.4052798513 1.7099021278 5.4668219948 0.0000000000
4.9588524715 0.4850000000 4.4052795301 1.7099070398 5.4668226750 0.0000000000
4.9670734540 0.4850000000 4.4052792170 1.7099121976 5.4668234856 0.0000000000
4.9752944366 0.4850000000 4.4052789056 1.7099175955 5.4668243993 0.0000000000
4.9835154191 0.4850000000 4.4052785898 1.7099232273 5.4668253889 0.0000000000
4.9917364016 0.4850000000 4.4052782634 1.7099290872 5.4668264270 0.0000000000
4.9999573841 0.4850000000 4.4052779201 1.7099351691 5.4668274865 0.0000000000
5.0081783665 0.4850000000 4.4052775537 1.7099414671 5.4668285401 0.0000000000
5.0163993489 0.4850000000 4.4052771579 1.7099479753 5.4668295605 0.0000000000
5.0246203314 0.4850000000 4.4052767267 1.7099546877 5.4668305204 0.0000000000
5.0328413137 0.4850000000 4.4052762537 1.7099615983 5.4668313926 0.0000000000
5.0410622961 0.4850000000 4.4052757327 1.7099687013 5.4668321499 0.0000000000
