# logAge Mass logTe Mbol logg C/O
1.2459073016 0.4000000000 3.6004600000 1.2129000000 1.9650599913 0.0000000000
1.2859164182 0.4000000000 3.6004728725 1.2133370358 1.9652862957 0.0000000000
1.3259256384 0.4000000000 3.6004844539 1.2137999878 1.9655178020 0.0000000000
1.3659349077 0.4000000000 3.6004951250 1.2142961518 1.9657589521 0.0000000000
1.4059441713 0.4000000000 3.6005052668 1.2148328240 1.9660141880 0.0000000000
1.4459533747 0.4000000000 3.6005152600 1.2154173001 1.9662879515 0.0000000000
1.4859624631 0.4000000000 3.6005254857 1.2160568763 1.9665846847 0.0000000000
1.5259713819 0.4000000000 3.6005363247 1.2167588484 1.9669088294 0.0000000000
1.5659800765 0.4000000000 3.6005481578 1.2175305124 1.9672648274 0.0000000000
1.6059884922 0.4000000000 3.6005613660 1.2183791643 1.9676571209 0.0000000000
1.6459965743 0.4000000000 3.6005763301 1.2193121000 1.9680901516 0.0000000000
1.6860042683 0.4000000000 3.6005934310 1.2203366156 1.9685683614 0.0000000000
1.7260115193 0.4000000000 3.6006130496 1.2214600069 1.9690961924 0.0000000000
1.7660182729 0.4000000000 3.6006355668 1.2226895700 1.9696780863 0.0000000000
1.8060244643 0.4000000000 3.6006612587 1.2240331081 1.9703182693 0.0000000000
1.8460299592 0.4000000000 3.6006896715 1.2255019617 1.9710194621 0.0000000000
1.8860345934 0.4000000000 3.6007200406 1.2271089773 1.9717837445 0.0000000000
1.9260382029 0.4000000000 3.6007516001 1.2288670068 1.9726131943 0.0000000000
1.9660406092 0.4000000000 3.6007841152 1.2307891277 1.9735121031 0.0000000000
2.0060415846 0.4000000000 3.6008191787 1.2328891938 1.9744923836 0.0000000000
2.0460408910 0.4000000000 3.6008587764 1.2351812255 1.9755675873 0.0000000000
2.0860382274 0.4000000000 3.6009042888 1.2376821631 1.9767500119 0.0000000000
2.1260330187 0.4000000000 3.6009544569 1.2404216761 1.9780464894 0.0000000000
2.1660246199 0.4000000000 3.6010073429 1.2434325423 1.9794623801 0.0000000000
2.2060126883 0.4000000000 3.6010635992 1.2467244472 1.9810041672 0.0000000000
2.2459973616 0.4000000000 3.6011279923 1.2502703933 1.9826801179 0.0000000000
2.2859784432 0.4000000000 3.6012037743 1.2540622075 1.9844999714 0.0000000000
2.3259540932 0.4000000000 3.6012860041 1.2581879602 1.9864791917 0.0000000000
2.3659221879 0.4000000000 3.6013689144 1.2627492866 1.9886353637 0.0000000000
