# logAge Mass logTe Mbol logg C/O
-0.5054055187 1.0000000000 3.6616900000 -2.3590250000 1.1791500000 0.0000000000
-0.4620611671 1.0000000000 3.6616941991 -2.3589174164 1.1792098297 0.0000000000
-0.4187168282 1.0000000000 3.6616988671 -2.3587846693 1.1792816007 0.0000000000
-0.3753725005 1.0000000000 3.6617036251 -2.3586309382 1.1793621251 0.0000000000
-0.3320281822 1.0000000000 3.6617080940 -2.3584604025 1.1794482149 0.0000000000
-0.2886838720 1.0000000000 3.6617119501 -2.3582769575 1.1795370174 0.0000000000
-0.2453395725 1.0000000000 3.6617159968 -2.3580787110 1.1796325027 0.0000000000
-0.2019952907 1.0000000000 3.6617220739 -2.3578583968 1.1797449367 0.0000000000
-0.1586510323 1.0000000000 3.6617307862 -2.3576107629 1.1798788395 0.0000000000
-0.1153068017 1.0000000000 3.6617405179 -2.3573344237 1.1800283023 0.0000000000
-0.0719626033 1.0000000000 3.6617498076 -2.3570281966 1.1801879517 0.0000000000
-0.0286184424 1.0000000000 3.6617584768 -2.3566902696 1.1803577994 0.0000000000
0.0147256746 1.0000000000 3.6617667446 -2.3563184521 1.1805395975 0.0000000000
0.0580697369 1.0000000000 3.6617756982 -2.3559088460 1.1807392542 0.0000000000
0.1014137311 1.0000000000 3.6617867290 -2.3554567676 1.1809642090 0.0000000000
0.1447576406 1.0000000000 3.6618001610 -2.3549566110 1.1812179995 0.0000000000
0.1881014453 1.0000000000 3.6618154629 -2.3544020013 1.1815010511 0.0000000000
0.2314451157 1.0000000000 3.6618325961 -2.3537851164 1.1818163380 0.0000000000
0.2747886077 1.0000000000 3.6618522984 -2.3530959969 1.1821707948 0.0000000000
0.3181318872 1.0000000000 3.6618745905 -2.3523283142 1.1825670365 0.0000000000
0.3614749515 1.0000000000 3.6618972348 -2.3514867568 1.1829942366 0.0000000000
0.4048177882 1.0000000000 3.6619183692 -2.3505739343 1.1834439031 0.0000000000
0.4481602928 1.0000000000 3.6619407254 -2.3495686076 1.1839354586 0.0000000000
